detail_id,detail_information,light_condition,road_function,intersection_type,drunk_driving
1,Concrete Traffic Barrier,Dark - Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,t
2,Rollover/Overturn,Daylight,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
3,Curb,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,f
4,Live Animal,Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,f
5,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,T-Intersection,f
6,Curb,Dark - Lighted,Urban-Minor Arterial,Not an Intersection,t
7,Parked Motor Vehicle ,Dark - Not Lighted,Rural-Minor Collector,Not an Intersection,f
8,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,t
9,Rollover/Overturn,Dark - Not Lighted,Rural-Minor Collector,Not an Intersection,t
10,Rollover/Overturn,Dark - Not Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,f
11,Motor Vehicle In-Transport ,Dawn,Rural-Minor Collector,Not an Intersection,t
12,Rollover/Overturn,Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
13,Rollover/Overturn,Dark - Not Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,f
14,Curb,Dark - Lighted,Urban-Local Road or Street,T-Intersection,t
15,Rollover/Overturn,Dark - Not Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,t
16,Shrubbery,Dark - Not Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,f
17,Concrete Traffic Barrier,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
18,Motor Vehicle In-Transport ,Daylight,Rural-Local Road or Street,Y-Intersection,f
19,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Other Principal Arterial,Four-Way Intersection,f
20,Non-Motorist on Personal Conveyance,Dawn,Urban-Other Principal Arterial,T-Intersection,f
21,Motor Vehicle In-Transport ,Daylight,Urban-Local Road or Street,Not an Intersection,f
22,Pedestrian,Dark - Not Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,f
23,Motor Vehicle In-Transport ,Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
24,Unknown,Daylight,Urban-Collector,Unknown,f
25,Concrete Traffic Barrier,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,t
26,Curb,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,t
