detail_id,detail_information,light_condition,road_function,intersection_type,drunk_driving
32779,Pedestrian,Dark - Not Lighted,Urban-Collector,Not an Intersection,t
32780,Rollover/Overturn,Daylight,Rural-Minor Arterial,Not an Intersection,f
32781,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,T-Intersection,f
32782,"Other Post, Other Pole or Other Supports",Daylight,Rural-Major Collector,Not an Intersection,f
32783,Rollover/Overturn,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,t
32784,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,Four-Way Intersection,f
32785,Pedestrian,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
32786,Tree (Standing Only),Daylight,Rural-Major Collector,T-Intersection,f
32787,Pedestrian,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
32788,Fence,Daylight,Rural-Major Collector,Not an Intersection,f
32789,Rollover/Overturn,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,t
32790,Tree (Standing Only),Daylight,Rural-Local Road or Street,Not an Intersection,t
32791,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
32792,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Not an Intersection,f
32793,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,T-Intersection,f
32794,Embankment,Daylight,Rural-Major Collector,Not an Intersection,f
32795,Tree (Standing Only),Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,t
32796,Pedestrian,Dark - Lighted,Urban-Minor Arterial,Not an Intersection,f
32797,Guardrail Face,Daylight,Rural-Minor Arterial,Not an Intersection,f
32798,Pedestrian,Daylight,Rural-Minor Arterial,Not an Intersection,f
32799,Ditch,Daylight,Rural-Local Road or Street,Not an Intersection,f
32800,Rollover/Overturn,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
32801,Wall,Dark - Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,t
32802,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
32803,Utility Pole/Light Support,Daylight,Rural-Major Collector,Not an Intersection,t
32804,Tree (Standing Only),Daylight,Rural-Local Road or Street,Not an Intersection,f
32805,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
32806,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
32807,Rollover/Overturn,Daylight,Rural-Minor Arterial,Not an Intersection,f
32808,Pedestrian,Dark - Not Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,f
32809,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,t
32810,Pedestrian,Dark - Not Lighted,Urban-Other Principal Arterial,Not an Intersection,f
32811,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,Four-Way Intersection,f
32812,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Other Principal Arterial,Four-Way Intersection,f
32813,Curb,Dark - Lighted,Urban-Minor Arterial,T-Intersection,f
32814,Pedestrian,Dark - Not Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,f
32815,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Not an Intersection,f
32816,Utility Pole/Light Support,Daylight,Urban-Minor Arterial,Not an Intersection,t
32817,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Not an Intersection,t
32818,Culvert,Daylight,Rural-Minor Arterial,Not an Intersection,f
32819,Shrubbery,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
32820,Traffic Sign Support ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
32821,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
32822,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
32823,Boulder,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
32824,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
32825,Pedestrian,Dusk,Urban-Other Principal Arterial,Not an Intersection,f
32826,Non-Motorist on Personal Conveyance,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
32827,Fell/Jumped from Vehicle,Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,t
32828,Curb,Daylight,Urban-Collector,Not an Intersection,t
32829,Fell/Jumped from Vehicle,Daylight,Rural-Local Road or Street,Not an Intersection,f
32830,Tree (Standing Only),Dark - Lighted,Urban-Minor Arterial,Not an Intersection,t
32831,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,Four-Way Intersection,f
32832,Rollover/Overturn,Daylight,Rural-Principal Arterial-Other,Not an Intersection,t
32833,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,T-Intersection,f
32834,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
32835,Ditch,Daylight,Rural-Principal Arterial-Other,Not an Intersection,t
32836,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Other Principal Arterial,Four-Way Intersection,t
32837,Ground,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,t
32838,Tree (Standing Only),Daylight,Rural-Major Collector,Not an Intersection,f
32839,Rollover/Overturn,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
32840,Rollover/Overturn,Daylight,Rural-Major Collector,Not an Intersection,f
32841,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,T-Intersection,t
32842,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,t
32843,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,Four-Way Intersection,f
32844,Embankment,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,f
32845,Embankment,Daylight,Rural-Local Road or Street,Not an Intersection,f
32846,Rollover/Overturn,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
32847,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
32848,Guardrail Face,Dark - Not Lighted,Rural-Principal Arterial-Other,T-Intersection,t
32849,Rollover/Overturn,Daylight,Rural-Major Collector,Not an Intersection,f
32850,Pedalcyclist,Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,f
32851,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
32852,Tree (Standing Only),Dusk,Rural-Minor Collector,Not an Intersection,f
32853,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
32854,Ditch,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
32855,Pedalcyclist,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
32856,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
32857,Non-Motorist on Personal Conveyance,Daylight,Urban-Other Principal Arterial,T-Intersection,f
32858,Tree (Standing Only),Daylight,Rural-Major Collector,Not an Intersection,f
32859,Motor Vehicle In-Transport ,Dawn,Rural-Principal Arterial-Other,Four-Way Intersection,f
32860,Rollover/Overturn,Daylight,Rural-Minor Arterial,Not an Intersection,t
32861,Pedestrian,Daylight,Urban-Other Principal Arterial,T-Intersection,f
32862,Tree (Standing Only),Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,t
32863,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Minor Arterial,Four-Way Intersection,f
32864,Tree (Standing Only),Daylight,Rural-Minor Arterial,Not an Intersection,f
32865,Rollover/Overturn,Daylight,Rural-Major Collector,Not an Intersection,f
32866,Non-Motorist on Personal Conveyance,Daylight,Urban-Local Road or Street,Four-Way Intersection,f
32867,Shrubbery,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
32868,Motor Vehicle In-Transport ,Dusk,Rural-Minor Arterial,Not an Intersection,t
32869,Tree (Standing Only),Dark - Lighted,Urban-Local Road or Street,Four-Way Intersection,t
32870,Tree (Standing Only),Dusk,Rural-Minor Arterial,Not an Intersection,f
32871,Pedestrian,Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
32872,Pedestrian,Dark - Not Lighted,Urban-Other Principal Arterial,Not an Intersection,f
32873,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Four-Way Intersection,f
32874,Mail Box,Daylight,Rural-Minor Collector,Not an Intersection,t
32875,Rollover/Overturn,Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
32876,Concrete Traffic Barrier,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
32877,Rollover/Overturn,Dawn,Urban-Principal Arterial-Interstate,Not an Intersection,f
32878,Tree (Standing Only),Daylight,Urban-Minor Arterial,Not an Intersection,f
32879,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,f
32880,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
32881,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,T-Intersection,f
32882,Traffic Sign Support ,Daylight,Rural-Major Collector,Not an Intersection,f
32883,Boulder,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
32884,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Minor Arterial,Four-Way Intersection,f
32885,Embankment,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
32886,Pedalcyclist,Daylight,Rural-Major Collector,Not an Intersection,f
32887,Pedestrian,Daylight,Rural-Local Road or Street,Not an Intersection,f
32888,Rollover/Overturn,Dark - Not Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,t
32889,Tree (Standing Only),Daylight,Rural-Local Road or Street,Not an Intersection,f
32890,Motor Vehicle In-Transport ,Daylight,Rural-Minor Collector,Not an Intersection,f
32891,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Not an Intersection,f
32892,Tree (Standing Only),Daylight,Rural-Principal Arterial-Other,Not an Intersection,t
32893,Fell/Jumped from Vehicle,Dark - Lighted,Urban-Minor Arterial,Not an Intersection,t
32894,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
32895,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
32896,Parked Motor Vehicle ,Dark - Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,f
32897,Pedestrian,Daylight,Urban-Collector,Not an Intersection,f
32898,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
32899,Motor Vehicle In-Transport ,Dusk,Urban-Other Principal Arterial,Not an Intersection,f
32900,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
32901,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,t
32902,Pedestrian,Dark - Not Lighted,Urban-Other Principal Arterial,Not an Intersection,f
32903,Rollover/Overturn,Dusk,Rural-Minor Arterial,Not an Intersection,f
32904,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Not an Intersection,f
32905,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,T-Intersection,f
32906,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Not an Intersection,f
32907,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
32908,Pedalcyclist,Daylight,Urban-Other Principal Arterial,T-Intersection,f
32909,Motor Vehicle In-Transport ,Daylight,Rural-Minor Collector,Not an Intersection,f
32910,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
32911,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Not an Intersection,f
32912,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
32913,Embankment,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,t
32914,Rollover/Overturn,Dark - Not Lighted,Urban-Local Road or Street,Not an Intersection,t
32915,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
32916,Other Fixed Object,Daylight,Urban-Other Principal Arterial,T-Intersection,f
33479,Curb,Daylight,Urban-Local Road or Street,Not an Intersection,f
32917,Live Animal,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
32918,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,Four-Way Intersection,f
32919,Motor Vehicle In-Transport ,Dusk,Urban-Other Principal Arterial,Four-Way Intersection,f
37694,Unknown,Dark - Unknown Lighting,Rural-Major Collector,Unknown,f
32920,Rollover/Overturn,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
32921,Motor Vehicle In-Transport ,Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,t
32922,Utility Pole/Light Support,Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,t
32923,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
32924,Motor Vehicle In-Transport ,Dusk,Rural-Principal Arterial-Other,T-Intersection,f
32925,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,t
32926,Rollover/Overturn,Daylight,Rural-Minor Collector,Not an Intersection,f
