intervention_id,victim_id,accident_id,respondent_id
10001,10001,3800,10001
10002,10002,3801,10002
10003,10003,3801,10003
10004,10004,3801,10004
10005,10005,3802,10005
10006,10006,3803,10006
10007,10007,3803,10007
10019,10019,3808,10019
10020,10020,3808,10020
10021,10021,3809,10021
10022,10022,3809,10022
10023,10023,3809,10023
10024,10024,3809,10024
10025,10025,3809,10025
10026,10026,3809,10026
10027,10027,3810,10027
10028,10028,3810,10028
10029,10029,3810,10029
10030,10030,3811,10030
10031,10031,3812,10031
10032,10032,3812,10032
10033,10033,3813,10033
10034,10034,3814,10034
10035,10035,3814,10035
10036,10036,3814,10036
10037,10037,3814,10037
10038,10038,3815,10038
10039,10039,3816,10039
10040,10040,3816,10040
10041,10041,3816,10041
10042,10042,3816,10042
10043,10043,3817,10043
10044,10044,3817,10044
10045,10045,3817,10045
10046,10046,3817,10046
10047,10047,3818,10047
10048,10048,3818,10048
10049,10049,3818,10049
10050,10050,3819,10050
10051,10051,3819,10051
10052,10052,3820,10052
10053,10053,3821,10053
10054,10054,3821,10054
10055,10055,3821,10055
10056,10056,3822,10056
10057,10057,3823,10057
10058,10058,3823,10058
10059,10059,3823,10059
10060,10060,3823,10060
10061,10061,3824,10061
10062,10062,3825,10062
10063,10063,3825,10063
10064,10064,3826,10064
10065,10065,3827,10065
10066,10066,3827,10066
10067,10067,3827,10067
10068,10068,3828,10068
10069,10069,3828,10069
10070,10070,3828,10070
10071,10071,3829,10071
10072,10072,3829,10072
10073,10073,3830,10073
10074,10074,3831,10074
10075,10075,3831,10075
10076,10076,3831,10076
10077,10077,3832,10077
10078,10078,3832,10078
10079,10079,3833,10079
10080,10080,3833,10080
10081,10081,3834,10081
10082,10082,3834,10082
10083,10083,3834,10083
10084,10084,3834,10084
10085,10085,3835,10085
10086,10086,3835,10086
10087,10087,3835,10087
10088,10088,3836,10088
10089,10089,3837,10089
10090,10090,3837,10090
10091,10091,3838,10091
10092,10092,3839,10092
10093,10093,3840,10093
10094,10094,3841,10094
10095,10095,3841,10095
10096,10096,3841,10096
10097,10097,3841,10097
10098,10098,3842,10098
10099,10099,3842,10099
10100,10100,3843,10100
10101,10101,3843,10101
10102,10102,3844,10102
10103,10103,3844,10103
10104,10104,3845,10104
10105,10105,3845,10105
10106,10106,3846,10106
10107,10107,3846,10107
10108,10108,3847,10108
10109,10109,3848,10109
10110,10110,3849,10110
10111,10111,3849,10111
10112,10112,3850,10112
10113,10113,3850,10113
10114,10114,3850,10114
10115,10115,3850,10115
10116,10116,3850,10116
10117,10117,3851,10117
10118,10118,3852,10118
10119,10119,3853,10119
10120,10120,3853,10120
10121,10121,3854,10121
10122,10122,3855,10122
10123,10123,3855,10123
10124,10124,3855,10124
10125,10125,3856,10125
10126,10126,3857,10126
10127,10127,3858,10127
10128,10128,3858,10128
10129,10129,3859,10129
10130,10130,3860,10130
10131,10131,3860,10131
10132,10132,3860,10132
10133,10133,3861,10133
10134,10134,3861,10134
10135,10135,3862,10135
10136,10136,3862,10136
10137,10137,3863,10137
10138,10138,3863,10138
10139,10139,3864,10139
10140,10140,3865,10140
10141,10141,3865,10141
10142,10142,3866,10142
10143,10143,3866,10143
10144,10144,3866,10144
10145,10145,3867,10145
10146,10146,3867,10146
10147,10147,3867,10147
10148,10148,3868,10148
10149,10149,3868,10149
10150,10150,3868,10150
10151,10151,3868,10151
10152,10152,3869,10152
10153,10153,3870,10153
10154,10154,3870,10154
10155,10155,3870,10155
10156,10156,3871,10156
