intervention_id,victim_id,accident_id,respondent_id
20021,20021,7718,20021
20022,20022,7719,20022
20023,20023,7719,20023
20024,20024,7719,20024
20025,20025,7719,20025
20026,20026,7720,20026
20027,20027,7721,20027
20028,20028,7722,20028
20029,20029,7723,20029
20030,20030,7724,20030
20031,20031,7724,20031
20032,20032,7724,20032
20033,20033,7724,20033
20034,20034,7724,20034
20035,20035,7724,20035
20036,20036,7724,20036
20037,20037,7724,20037
20038,20038,7724,20038
20039,20039,7724,20039
20040,20040,7725,20040
20041,20041,7725,20041
20042,20042,7726,20042
20043,20043,7726,20043
20044,20044,7726,20044
20045,20045,7727,20045
20046,20046,7727,20046
20047,20047,7727,20047
20048,20048,7728,20048
20049,20049,7728,20049
20050,20050,7728,20050
20051,20051,7728,20051
20052,20052,7729,20052
20053,20053,7729,20053
20054,20054,7730,20054
20055,20055,7730,20055
20056,20056,7731,20056
20057,20057,7732,20057
20058,20058,7732,20058
20059,20059,7732,20059
20060,20060,7732,20060
20061,20061,7733,20061
20062,20062,7733,20062
20063,20063,7733,20063
20064,20064,7734,20064
20065,20065,7735,20065
20066,20066,7735,20066
20067,20067,7736,20067
20068,20068,7737,20068
20069,20069,7737,20069
20070,20070,7738,20070
20071,20071,7739,20071
20072,20072,7739,20072
20073,20073,7740,20073
20074,20074,7740,20074
20075,20075,7741,20075
20076,20076,7741,20076
20077,20077,7741,20077
20078,20078,7741,20078
20079,20079,7741,20079
20080,20080,7742,20080
20081,20081,7743,20081
20082,20082,7744,20082
20083,20083,7744,20083
20084,20084,7745,20084
20085,20085,7746,20085
20086,20086,7746,20086
20087,20087,7747,20087
20088,20088,7748,20088
20089,20089,7749,20089
20090,20090,7749,20090
20091,20091,7749,20091
20092,20092,7750,20092
20093,20093,7750,20093
20094,20094,7750,20094
20095,20095,7750,20095
20096,20096,7750,20096
20097,20097,7751,20097
20098,20098,7752,20098
20099,20099,7753,20099
20100,20100,7753,20100
20101,20101,7753,20101
20102,20102,7754,20102
20103,20103,7755,20103
20104,20104,7755,20104
20105,20105,7755,20105
20106,20106,7755,20106
20107,20107,7755,20107
20108,20108,7756,20108
20109,20109,7757,20109
20110,20110,7757,20110
20111,20111,7758,20111
20112,20112,7758,20112
20113,20113,7758,20113
20114,20114,7758,20114
20115,20115,7759,20115
20116,20116,7759,20116
20117,20117,7759,20117
20118,20118,7759,20118
20119,20119,7760,20119
20120,20120,7761,20120
20121,20121,7761,20121
20122,20122,7761,20122
20123,20123,7761,20123
20124,20124,7762,20124
20125,20125,7762,20125
20126,20126,7763,20126
20127,20127,7763,20127
20128,20128,7763,20128
20129,20129,7764,20129
20130,20130,7764,20130
20131,20131,7764,20131
20132,20132,7764,20132
20133,20133,7764,20133
20134,20134,7764,20134
20135,20135,7764,20135
20136,20136,7765,20136
20137,20137,7765,20137
20138,20138,7766,20138
20139,20139,7766,20139
20140,20140,7767,20140
20141,20141,7768,20141
20142,20142,7769,20142
20143,20143,7770,20143
20144,20144,7771,20144
20145,20145,7772,20145
20146,20146,7772,20146
20147,20147,7772,20147
20148,20148,7773,20148
20149,20149,7773,20149
20150,20150,7773,20150
20151,20151,7774,20151
20152,20152,7775,20152
20153,20153,7776,20153
20154,20154,7776,20154
20155,20155,7777,20155
20156,20156,7777,20156
20157,20157,7778,20157
20158,20158,7779,20158
20159,20159,7779,20159
20160,20160,7779,20160
20161,20161,7780,20161
20162,20162,7780,20162
20163,20163,7780,20163
20164,20164,7780,20164
20165,20165,7781,20165
20166,20166,7782,20166
20167,20167,7783,20167
20168,20168,7784,20168
20169,20169,7784,20169
20170,20170,7784,20170
20171,20171,7784,20171
20172,20172,7784,20172
20173,20173,7785,20173
20174,20174,7786,20174
20175,20175,7787,20175
20176,20176,7787,20176
20177,20177,7787,20177
20178,20178,7787,20178
20179,20179,7787,20179
20180,20180,7788,20180
20181,20181,7788,20181
20182,20182,7788,20182
20183,20183,7789,20183
20184,20184,7789,20184
20185,20185,7789,20185
20186,20186,7789,20186
20187,20187,7789,20187
20188,20188,7790,20188
20189,20189,7791,20189
20190,20190,7791,20190
20191,20191,7792,20191
20192,20192,7792,20192
20193,20193,7793,20193
20194,20194,7794,20194
20195,20195,7794,20195
20196,20196,7794,20196
20197,20197,7794,20197
20198,20198,7795,20198
20199,20199,7796,20199
20200,20200,7796,20200
20201,20201,7797,20201
20202,20202,7798,20202
20203,20203,7799,20203
20204,20204,7799,20204
20205,20205,7800,20205
20206,20206,7800,20206
20207,20207,7801,20207
20208,20208,7801,20208
20209,20209,7801,20209
20210,20210,7802,20210
20211,20211,7802,20211
20212,20212,7802,20212
20213,20213,7803,20213
20214,20214,7804,20214
20215,20215,7805,20215
20216,20216,7805,20216
20217,20217,7806,20217
20218,20218,7806,20218
20219,20219,7807,20219
20220,20220,7807,20220
20221,20221,7807,20221
20222,20222,7808,20222
20223,20223,7809,20223
20224,20224,7810,20224
20225,20225,7810,20225
20226,20226,7811,20226
20227,20227,7811,20227
20228,20228,7811,20228
20229,20229,7811,20229
20230,20230,7811,20230
20231,20231,7812,20231
20232,20232,7813,20232
20233,20233,7813,20233
20234,20234,7814,20234
20235,20235,7814,20235
20236,20236,7815,20236
20237,20237,7816,20237
20238,20238,7816,20238
20239,20239,7816,20239
20240,20240,7816,20240
20241,20241,7816,20241
20242,20242,7816,20242
20243,20243,7817,20243
20244,20244,7817,20244
20245,20245,7817,20245
20246,20246,7818,20246
20247,20247,7819,20247
20248,20248,7819,20248
20249,20249,7819,20249
20250,20250,7819,20250
20251,20251,7820,20251
20252,20252,7820,20252
20253,20253,7821,20253
20254,20254,7821,20254
20255,20255,7821,20255
20256,20256,7821,20256
20257,20257,7822,20257
20258,20258,7823,20258
20259,20259,7823,20259
20260,20260,7824,20260
20261,20261,7824,20261
20262,20262,7824,20262
20263,20263,7824,20263
20264,20264,7824,20264
20265,20265,7825,20265
20266,20266,7825,20266
20267,20267,7825,20267
20268,20268,7826,20268
20269,20269,7826,20269
20270,20270,7827,20270
20271,20271,7827,20271
20272,20272,7827,20272
20273,20273,7827,20273
20274,20274,7827,20274
20275,20275,7827,20275
20276,20276,7827,20276
20277,20277,7827,20277
20278,20278,7827,20278
20279,20279,7827,20279
20280,20280,7827,20280
20281,20281,7828,20281
20282,20282,7828,20282
20283,20283,7828,20283
20284,20284,7829,20284
20285,20285,7829,20285
20286,20286,7829,20286
20287,20287,7829,20287
20288,20288,7829,20288
20289,20289,7829,20289
20290,20290,7830,20290
20291,20291,7830,20291
20292,20292,7830,20292
20293,20293,7830,20293
20294,20294,7830,20294
20295,20295,7830,20295
20296,20296,7831,20296
20297,20297,7831,20297
20298,20298,7831,20298
20299,20299,7831,20299
20300,20300,7832,20300
20301,20301,7832,20301
20302,20302,7833,20302
20303,20303,7834,20303
20304,20304,7834,20304
20305,20305,7835,20305
20306,20306,7835,20306
20307,20307,7835,20307
20308,20308,7835,20308
