intervention_id,victim_id,accident_id,respondent_id
30021,30021,11802,30021
30022,30022,11803,30022
30023,30023,11803,30023
30024,30024,11804,30024
30025,30025,11804,30025
30026,30026,11805,30026
30027,30027,11806,30027
30028,30028,11807,30028
30029,30029,11808,30029
30030,30030,11808,30030
30031,30031,11809,30031
30032,30032,11809,30032
30033,30033,11810,30033
30034,30034,11810,30034
30035,30035,11810,30035
30036,30036,11810,30036
30037,30037,11810,30037
30038,30038,11810,30038
30039,30039,11810,30039
30040,30040,11810,30040
30041,30041,11811,30041
30042,30042,11811,30042
30043,30043,11812,30043
30044,30044,11812,30044
30045,30045,11812,30045
30046,30046,11813,30046
30047,30047,11813,30047
30048,30048,11814,30048
30049,30049,11814,30049
30050,30050,11815,30050
30051,30051,11816,30051
30052,30052,11816,30052
30053,30053,11817,30053
30054,30054,11817,30054
30055,30055,11817,30055
30056,30056,11817,30056
30057,30057,11818,30057
30058,30058,11818,30058
30059,30059,11819,30059
30060,30060,11820,30060
30061,30061,11821,30061
30062,30062,11822,30062
30063,30063,11823,30063
30064,30064,11823,30064
30065,30065,11823,30065
30066,30066,11824,30066
30067,30067,11824,30067
30068,30068,11825,30068
30069,30069,11826,30069
30070,30070,11827,30070
30071,30071,11828,30071
30072,30072,11828,30072
30073,30073,11829,30073
30074,30074,11829,30074
30075,30075,11830,30075
30076,30076,11831,30076
30077,30077,11831,30077
30078,30078,11832,30078
30079,30079,11832,30079
30080,30080,11832,30080
30081,30081,11833,30081
30082,30082,11834,30082
30083,30083,11834,30083
30084,30084,11835,30084
30085,30085,11835,30085
30086,30086,11835,30086
30087,30087,11836,30087
30088,30088,11836,30088
30089,30089,11837,30089
30090,30090,11838,30090
30091,30091,11838,30091
30092,30092,11838,30092
30093,30093,11838,30093
30094,30094,11838,30094
30095,30095,11839,30095
30096,30096,11839,30096
30097,30097,11839,30097
30098,30098,11839,30098
30099,30099,11839,30099
30100,30100,11839,30100
30101,30101,11840,30101
30102,30102,11840,30102
30103,30103,11841,30103
30104,30104,11841,30104
30105,30105,11842,30105
30106,30106,11842,30106
30107,30107,11843,30107
30108,30108,11844,30108
30109,30109,11844,30109
30110,30110,11845,30110
30111,30111,11845,30111
30112,30112,11846,30112
30113,30113,11846,30113
30114,30114,11846,30114
30115,30115,11846,30115
30116,30116,11846,30116
30117,30117,11846,30117
30118,30118,11847,30118
30119,30119,11848,30119
30120,30120,11848,30120
30121,30121,11848,30121
30122,30122,11849,30122
30123,30123,11849,30123
30124,30124,11850,30124
30125,30125,11850,30125
30126,30126,11851,30126
30127,30127,11852,30127
30128,30128,11853,30128
30129,30129,11853,30129
30130,30130,11853,30130
30131,30131,11853,30131
30132,30132,11854,30132
30133,30133,11854,30133
30134,30134,11854,30134
30135,30135,11854,30135
30136,30136,11854,30136
30137,30137,11855,30137
30138,30138,11855,30138
30139,30139,11855,30139
30140,30140,11856,30140
30141,30141,11856,30141
30142,30142,11857,30142
30143,30143,11857,30143
30144,30144,11858,30144
30145,30145,11858,30145
30146,30146,11859,30146
30147,30147,11860,30147
30148,30148,11861,30148
30149,30149,11862,30149
30150,30150,11862,30150
30151,30151,11863,30151
30152,30152,11863,30152
30153,30153,11863,30153
30154,30154,11863,30154
30155,30155,11864,30155
30156,30156,11864,30156
30157,30157,11864,30157
30158,30158,11864,30158
30159,30159,11865,30159
30160,30160,11865,30160
30161,30161,11866,30161
30162,30162,11867,30162
30163,30163,11867,30163
30164,30164,11868,30164
30165,30165,11868,30165
30166,30166,11868,30166
30167,30167,11868,30167
30168,30168,11869,30168
30169,30169,11869,30169
30170,30170,11870,30170
30171,30171,11870,30171
30172,30172,11871,30172
30173,30173,11872,30173
30174,30174,11872,30174
30175,30175,11872,30175
30176,30176,11872,30176
30177,30177,11872,30177
30178,30178,11872,30178
30179,30179,11873,30179
30180,30180,11873,30180
30181,30181,11873,30181
30182,30182,11874,30182
30183,30183,11874,30183
30184,30184,11874,30184
30185,30185,11874,30185
30186,30186,11874,30186
30187,30187,11875,30187
30188,30188,11875,30188
30189,30189,11876,30189
30190,30190,11876,30190
30191,30191,11877,30191
30192,30192,11878,30192
30193,30193,11878,30193
30194,30194,11878,30194
30195,30195,11879,30195
30196,30196,11880,30196
30197,30197,11880,30197
30198,30198,11881,30198
30199,30199,11881,30199
30200,30200,11882,30200
30201,30201,11882,30201
30202,30202,11882,30202
30203,30203,11882,30203
30204,30204,11883,30204
30205,30205,11883,30205
30206,30206,11884,30206
30207,30207,11885,30207
30208,30208,11886,30208
30209,30209,11886,30209
30210,30210,11886,30210
30211,30211,11886,30211
30212,30212,11886,30212
30213,30213,11886,30213
30214,30214,11886,30214
30215,30215,11886,30215
30216,30216,11886,30216
