intervention_id,victim_id,accident_id,respondent_id
121621,121624,49136,121621
121622,121625,49137,121622
121623,121626,49138,121623
121624,121627,49139,121624
121625,121628,49139,121625
121626,121629,49139,121626
121627,121630,49140,121627
121628,121631,49140,121628
121629,121632,49141,121629
121630,121633,49142,121630
121631,121634,49142,121631
121632,121635,49142,121632
121633,121636,49142,121633
121634,121637,49143,121634
121635,121638,49143,121635
121636,121639,49143,121636
121637,121640,49143,121637
121638,121641,49143,121638
121639,121642,49144,121639
121640,121643,49144,121640
121641,121644,49145,121641
121642,121645,49146,121642
121643,121646,49147,121643
121644,121647,49147,121644
121645,121648,49148,121645
121646,121649,49148,121646
121647,121650,49148,121647
121648,121651,49148,121648
121649,121652,49148,121649
121650,121653,49148,121650
121651,121654,49148,121651
121652,121655,49149,121652
121653,121656,49149,121653
121654,121657,49150,121654
121655,121658,49150,121655
121656,121659,49150,121656
121657,121660,49150,121657
121658,121661,49151,121658
121659,121662,49152,121659
121660,121663,49152,121660
121661,121664,49153,121661
121662,121665,49153,121662
121663,121666,49154,121663
121664,121667,49154,121664
121665,121668,49154,121665
121666,121669,49155,121666
121667,121670,49155,121667
121668,121671,49156,121668
121669,121672,49156,121669
121670,121673,49156,121670
121671,121674,49156,121671
121672,121675,49157,121672
121673,121676,49157,121673
121674,121677,49157,121674
121675,121678,49157,121675
121676,121679,49158,121676
121677,121680,49159,121677
121678,121681,49159,121678
121679,121682,49159,121679
121680,121683,49159,121680
121681,121684,49159,121681
121682,121685,49160,121682
121683,121686,49160,121683
121684,121687,49160,121684
121685,121688,49160,121685
121686,121689,49160,121686
121687,121690,49161,121687
121688,121691,49161,121688
121689,121692,49161,121689
121690,121693,49161,121690
121691,121694,49161,121691
121692,121695,49162,121692
121693,121696,49162,121693
121694,121697,49162,121694
121695,121698,49162,121695
121696,121699,49162,121696
121697,121700,49163,121697
121698,121701,49163,121698
121699,121702,49163,121699
121700,121703,49163,121700
121701,121704,49164,121701
121702,121705,49165,121702
121703,121706,49165,121703
121704,121707,49166,121704
121705,121708,49166,121705
121706,121709,49166,121706
121707,121710,49166,121707
121708,121711,49167,121708
121709,121712,49167,121709
121710,121713,49167,121710
121711,121714,49167,121711
121712,121715,49168,121712
121713,121716,49168,121713
121714,121717,49168,121714
121715,121718,49168,121715
121716,121719,49169,121716
121717,121720,49169,121717
121718,121721,49169,121718
121719,121722,49170,121719
121720,121723,49170,121720
121721,121724,49170,121721
121722,121725,49170,121722
121723,121726,49171,121723
121724,121727,49171,121724
121725,121728,49172,121725
121726,121729,49172,121726
121727,121730,49173,121727
121728,121731,49173,121728
121729,121732,49174,121729
121730,121733,49174,121730
121731,121734,49175,121731
121732,121735,49175,121732
121733,121736,49175,121733
121734,121737,49176,121734
121735,121738,49176,121735
121736,121739,49177,121736
121737,121740,49177,121737
121738,121741,49178,121738
121739,121742,49178,121739
121740,121743,49178,121740
121741,121744,49178,121741
121742,121745,49178,121742
121743,121746,49179,121743
121744,121747,49179,121744
121745,121748,49179,121745
121746,121749,49180,121746
121747,121750,49180,121747
121748,121751,49180,121748
121749,121752,49180,121749
121750,121753,49180,121750
121751,121754,49181,121751
121752,121755,49182,121752
121753,121756,49182,121753
121754,121757,49183,121754
121755,121758,49184,121755
121756,121759,49184,121756
121757,121760,49185,121757
121758,121761,49185,121758
121759,121762,49186,121759
121760,121763,49186,121760
121761,121764,49186,121761
121762,121765,49187,121762
121763,121766,49187,121763
121764,121767,49188,121764
121765,121768,49188,121765
121766,121769,49189,121766
121767,121770,49189,121767
121768,121771,49189,121768
121769,121772,49189,121769
121770,121773,49189,121770
121771,121774,49189,121771
121772,121775,49189,121772
121773,121776,49190,121773
121774,121777,49190,121774
121775,121778,49190,121775
121776,121779,49190,121776
121777,121780,49191,121777
121778,121781,49192,121778
121779,121782,49192,121779
121780,121783,49192,121780
121781,121784,49193,121781
121782,121785,49193,121782
121783,121786,49194,121783
121784,121787,49194,121784
121785,121788,49195,121785
121786,121789,49195,121786
121787,121790,49195,121787
121788,121791,49196,121788
121789,121792,49196,121789
121790,121793,49197,121790
121791,121794,49197,121791
121792,121795,49197,121792
121793,121796,49197,121793
121794,121797,49198,121794
121795,121798,49198,121795
121796,121799,49199,121796
121797,121800,49199,121797
121798,121801,49199,121798
121799,121802,49200,121799
121800,121803,49200,121800
121801,121804,49200,121801
121802,121805,49200,121802
121803,121806,49200,121803
121804,121807,49200,121804
121805,121808,49200,121805
121806,121809,49200,121806
121807,121810,49200,121807
121808,121811,49200,121808
121809,121812,49200,121809
121810,121813,49201,121810
121811,121814,49201,121811
121812,121815,49202,121812
121813,121816,49203,121813
121814,121817,49203,121814
121815,121818,49204,121815
121816,121819,49204,121816
121817,121820,49204,121817
121818,121821,49205,121818
121819,121822,49205,121819
121820,121823,49205,121820
121821,121824,49205,121821
121822,121825,49205,121822
121823,121826,49205,121823
121824,121827,49206,121824
121825,121828,49207,121825
121826,121829,49207,121826
121827,121830,49207,121827
121828,121831,49207,121828
121829,121832,49208,121829
121830,121833,49208,121830
121831,121834,49209,121831
121832,121835,49209,121832
121833,121836,49210,121833
121834,121837,49211,121834
121835,121838,49212,121835
121836,121839,49213,121836
121837,121840,49214,121837
121838,121841,49214,121838
121839,121842,49215,121839
121840,121843,49216,121840
121841,121844,49216,121841
121842,121845,49217,121842
121843,121846,49217,121843
121844,121847,49218,121844
121845,121848,49219,121845
121846,121849,49219,121846
121847,121850,49220,121847
121848,121851,49220,121848
121849,121852,49221,121849
121850,121853,49221,121850
121851,121854,49222,121851
121852,121855,49222,121852
121853,121856,49223,121853
121854,121857,49223,121854
121855,121858,49224,121855
121856,121859,49224,121856
121857,121860,49225,121857
121858,121861,49225,121858
121859,121862,49226,121859
121860,121863,49227,121860
121861,121864,49228,121861
121862,121865,49228,121862
121863,121866,49229,121863
121864,121867,49230,121864
121865,121868,49230,121865
121866,121869,49231,121866
121867,121870,49231,121867
121868,121871,49232,121868
121869,121872,49233,121869
121870,121873,49234,121870
121871,121874,49234,121871
121872,121875,49235,121872
121873,121876,49235,121873
121874,121877,49236,121874
121875,121878,49237,121875
121876,121879,49238,121876
121877,121880,49238,121877
121878,121881,49238,121878
121879,121882,49238,121879
121880,121883,49238,121880
121881,121884,49238,121881
121882,121885,49239,121882
121883,121886,49239,121883
121884,121887,49239,121884
121885,121888,49239,121885
121886,121889,49240,121886
121887,121890,49240,121887
121888,121891,49240,121888
121889,121892,49240,121889
121890,121893,49240,121890
121891,121894,49241,121891
121892,121895,49241,121892
121893,121896,49242,121893
121894,121897,49242,121894
121895,121898,49242,121895
121896,121899,49243,121896
121897,121900,49243,121897
121898,121901,49243,121898
121899,121902,49243,121899
121900,121903,49243,121900
121901,121904,49243,121901
121902,121905,49244,121902
121903,121906,49244,121903
121904,121907,49245,121904
121905,121908,49245,121905
121906,121909,49246,121906
121907,121910,49246,121907
121908,121911,49246,121908
121909,121912,49247,121909
121910,121913,49248,121910
121911,121914,49248,121911
121912,121915,49248,121912
121913,121916,49248,121913
121914,121917,49249,121914
121915,121918,49249,121915
121916,121919,49249,121916
121917,121920,49249,121917
121918,121921,49249,121918
121919,121922,49249,121919
121920,121923,49249,121920
121921,121924,49250,121921
121922,121925,49250,121922
121923,121926,49250,121923
121924,121927,49250,121924
121925,121928,49251,121925
121926,121929,49252,121926
121927,121930,49253,121927
121928,121931,49253,121928
121929,121932,49254,121929
121930,121933,49254,121930
121931,121934,49255,121931
121932,121935,49255,121932
121933,121936,49255,121933
121934,121937,49255,121934
121935,121938,49256,121935
121936,121939,49256,121936
121937,121940,49257,121937
121938,121941,49257,121938
121939,121942,49258,121939
121940,121943,49258,121940
121941,121944,49258,121941
121942,121945,49258,121942
121943,121946,49258,121943
121944,121947,49258,121944
121945,121948,49258,121945
121946,121949,49258,121946
121947,121950,49258,121947
121948,121951,49259,121948
121949,121952,49259,121949
121950,121953,49260,121950
121951,121954,49260,121951
121952,121955,49261,121952
121953,121956,49261,121953
121954,121957,49262,121954
121955,121958,49262,121955
121956,121959,49262,121956
121957,121960,49262,121957
121958,121961,49262,121958
121959,121962,49262,121959
121960,121963,49262,121960
121961,121964,49263,121961
121962,121965,49264,121962
121963,121966,49264,121963
121964,121967,49264,121964
121965,121968,49264,121965
121966,121969,49265,121966
121967,121970,49266,121967
121968,121971,49266,121968
121969,121972,49266,121969
121970,121973,49266,121970
121971,121974,49266,121971
121972,121975,49266,121972
121973,121976,49266,121973
121974,121977,49266,121974
121975,121978,49266,121975
121976,121979,49266,121976
121977,121980,49266,121977
121978,121981,49267,121978
121979,121982,49267,121979
121980,121983,49268,121980
