intervention_id,victim_id,accident_id,respondent_id
151664,151667,61582,151664
151665,151668,61582,151665
151666,151669,61582,151666
151667,151670,61582,151667
151668,151671,61582,151668
151669,151672,61583,151669
151670,151673,61583,151670
151671,151674,61583,151671
151672,151675,61583,151672
151673,151676,61583,151673
151674,151677,61584,151674
151675,151678,61584,151675
151676,151679,61584,151676
151677,151680,61585,151677
151678,151681,61586,151678
151679,151682,61586,151679
151680,151683,61586,151680
151681,151684,61587,151681
151682,151685,61587,151682
151683,151686,61587,151683
151684,151687,61588,151684
151685,151688,61588,151685
151686,151689,61589,151686
151687,151690,61589,151687
151688,151691,61589,151688
151689,151692,61589,151689
151690,151693,61589,151690
151691,151694,61590,151691
151692,151695,61590,151692
151693,151696,61590,151693
151694,151697,61590,151694
151695,151698,61591,151695
151696,151699,61591,151696
151697,151700,61592,151697
151698,151701,61592,151698
151699,151702,61592,151699
151700,151703,61593,151700
151701,151704,61594,151701
151702,151705,61594,151702
151703,151706,61594,151703
151704,151707,61595,151704
151705,151708,61595,151705
151706,151709,61595,151706
151707,151710,61595,151707
151708,151711,61595,151708
151709,151712,61596,151709
151710,151713,61597,151710
151711,151714,61597,151711
151712,151715,61598,151712
151713,151716,61599,151713
151714,151717,61599,151714
151715,151718,61600,151715
151716,151719,61601,151716
151717,151720,61601,151717
151718,151721,61601,151718
151719,151722,61601,151719
151720,151723,61602,151720
151721,151724,61603,151721
151722,151725,61603,151722
151723,151726,61604,151723
151724,151727,61605,151724
151725,151728,61606,151725
151726,151729,61607,151726
151727,151730,61608,151727
151728,151731,61609,151728
151729,151732,61610,151729
151730,151733,61610,151730
151731,151734,61610,151731
151732,151735,61610,151732
151733,151736,61610,151733
151734,151737,61611,151734
151735,151738,61611,151735
151736,151739,61612,151736
151737,151740,61612,151737
151738,151741,61613,151738
151739,151742,61613,151739
151740,151743,61614,151740
151741,151744,61614,151741
151742,151745,61615,151742
151743,151746,61615,151743
151744,151747,61615,151744
151745,151748,61616,151745
151746,151749,61616,151746
151747,151750,61616,151747
151748,151751,61616,151748
151749,151752,61617,151749
151750,151753,61618,151750
151751,151754,61619,151751
151752,151755,61619,151752
151753,151756,61619,151753
151754,151757,61620,151754
151755,151758,61620,151755
151756,151759,61621,151756
151757,151760,61622,151757
151758,151761,61622,151758
151759,151762,61623,151759
151760,151763,61624,151760
151761,151764,61625,151761
151762,151765,61626,151762
151763,151766,61626,151763
151764,151767,61627,151764
151765,151768,61628,151765
151766,151769,61628,151766
151767,151770,61628,151767
151768,151771,61628,151768
151769,151772,61629,151769
151770,151773,61629,151770
151771,151774,61629,151771
151772,151775,61629,151772
151773,151776,61630,151773
151774,151777,61630,151774
151775,151778,61630,151775
151776,151779,61630,151776
151777,151780,61631,151777
151778,151781,61631,151778
151779,151782,61632,151779
151780,151783,61632,151780
151781,151784,61632,151781
151782,151785,61632,151782
151783,151786,61632,151783
151784,151787,61632,151784
151785,151788,61632,151785
151786,151789,61633,151786
151787,151790,61633,151787
151788,151791,61634,151788
151789,151792,61634,151789
151790,151793,61635,151790
151791,151794,61635,151791
151792,151795,61636,151792
151793,151796,61636,151793
151794,151797,61636,151794
151795,151798,61636,151795
151796,151799,61636,151796
151797,151800,61636,151797
151798,151801,61636,151798
151799,151802,61636,151799
151800,151803,61637,151800
151801,151804,61637,151801
151802,151805,61638,151802
151803,151806,61638,151803
151804,151807,61639,151804
151805,151808,61639,151805
151806,151809,61640,151806
151807,151810,61640,151807
151808,151811,61641,151808
151809,151812,61641,151809
151810,151813,61641,151810
151811,151814,61641,151811
151812,151815,61641,151812
151813,151816,61641,151813
151814,151817,61642,151814
151815,151818,61642,151815
151816,151819,61642,151816
151817,151820,61642,151817
151818,151821,61643,151818
151819,151822,61643,151819
151820,151823,61644,151820
151821,151824,61645,151821
151822,151825,61645,151822
151823,151826,61645,151823
151824,151827,61645,151824
151825,151828,61646,151825
151826,151829,61647,151826
151827,151830,61648,151827
151828,151831,61648,151828
151829,151832,61649,151829
151830,151833,61650,151830
151831,151834,61651,151831
151832,151835,61652,151832
151833,151836,61652,151833
151834,151837,61653,151834
151835,151838,61653,151835
151836,151839,61653,151836
151837,151840,61653,151837
151838,151841,61653,151838
151839,151842,61654,151839
151840,151843,61655,151840
151841,151844,61655,151841
151842,151845,61656,151842
151843,151846,61656,151843
151844,151847,61657,151844
151845,151848,61657,151845
151846,151849,61658,151846
151847,151850,61658,151847
151848,151851,61659,151848
151849,151852,61660,151849
151850,151853,61660,151850
151851,151854,61661,151851
151852,151855,61661,151852
151853,151856,61662,151853
151854,151857,61663,151854
151855,151858,61664,151855
151856,151859,61664,151856
151857,151860,61665,151857
151858,151861,61666,151858
151859,151862,61667,151859
151860,151863,61667,151860
151861,151864,61667,151861
151862,151865,61667,151862
151863,151866,61667,151863
151864,151867,61667,151864
151865,151868,61668,151865
151866,151869,61668,151866
151867,151870,61668,151867
151868,151871,61669,151868
151869,151872,61669,151869
151870,151873,61669,151870
151871,151874,61670,151871
151872,151875,61671,151872
151873,151876,61672,151873
151874,151877,61673,151874
151875,151878,61673,151875
151876,151879,61674,151876
151877,151880,61674,151877
151878,151881,61675,151878
151879,151882,61675,151879
151880,151883,61676,151880
151881,151884,61676,151881
151882,151885,61677,151882
151883,151886,61678,151883
151884,151887,61679,151884
