detail_id,detail_information,light_condition,road_function,intersection_type,drunk_driving
10008,Traffic Sign Support ,Daylight,Rural-Minor Arterial,Not an Intersection,f
10009,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,t
10010,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Minor Arterial,Four-Way Intersection,t
10011,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Four-Way Intersection,f
10012,Railway Vehicle,Daylight,Rural-Minor Arterial,Not an Intersection,f
10013,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Four-Way Intersection,t
10014,Rollover/Overturn,Dark - Lighted,Rural-Local Road or Street,Not an Intersection,t
10015,Bridge Rail (Includes parapet),Daylight,Rural-Minor Arterial,Not an Intersection,f
10016,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
10017,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Y-Intersection,f
10018,Rollover/Overturn,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,t
10019,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,Four-Way Intersection,f
10020,Motor Vehicle In-Transport ,Dusk,Urban-Other Principal Arterial,Four-Way Intersection,f
10021,Fence,Dark - Not Lighted,Rural-Minor Collector,Not an Intersection,t
10022,Culvert,Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,t
10023,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
10024,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Minor Arterial,Four-Way Intersection,t
10025,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
10026,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,Four-Way Intersection,f
10027,Other Fixed Object,Daylight,Rural-Major Collector,Not an Intersection,f
10028,Embankment,Daylight,Rural-Major Collector,Not an Intersection,f
10029,Bridge Rail (Includes parapet),Dark - Not Lighted,Rural-Major Collector,Not an Intersection,t
10030,Bridge Rail (Includes parapet),Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,t
10031,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Other Principal Arterial,Four-Way Intersection,t
10032,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
10033,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
10034,"Other Post, Other Pole or Other Supports",Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
10035,Rollover/Overturn,Daylight,Rural-Local Road or Street,Not an Intersection,f
10036,Embankment,Dawn,Rural-Principal Arterial-Other,Not an Intersection,t
10037,Ditch,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,t
10038,Ditch,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,t
10039,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
10040,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Not an Intersection,f
10041,Rollover/Overturn,Dark - Not Lighted,Rural-Local Road or Street,Four-Way Intersection,t
10042,Rollover/Overturn,Dawn,Rural-Major Collector,Not an Intersection,f
10043,Motor Vehicle In-Transport ,Dusk,Rural-Principal Arterial-Other,Not an Intersection,f
10044,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Four-Way Intersection,f
10045,Other Fixed Object,Unknown,Urban-Collector,Not an Intersection,t
10046,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
10047,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
10048,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
10049,Guardrail Face,Dark - Lighted,Urban-Collector,Not an Intersection,t
10050,Embankment,Daylight,Rural-Local Road or Street,Not an Intersection,t
10051,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Not an Intersection,f
10052,Other Fixed Object,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
10053,Pedalcyclist,Daylight,Rural-Local Road or Street,Not an Intersection,t
10054,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
10055,Rollover/Overturn,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,f
10056,Parked Motor Vehicle ,Dark - Lighted,Urban-Local Road or Street,Not an Intersection,t
10057,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Four-Way Intersection,f
10058,Railway Vehicle,Daylight,Urban-Local Road or Street,Not an Intersection,f
10059,Motor Vehicle In-Transport ,Daylight,Rural-Local Road or Street,Four-Way Intersection,f
10060,Pedestrian,Daylight,Urban-Local Road or Street,Not an Intersection,f
10061,Bridge Pier or Support,Dark - Not Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,t
10062,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Four-Way Intersection,f
10063,Rollover/Overturn,Dawn,Rural-Local Road or Street,Four-Way Intersection,f
10064,Motor Vehicle In-Transport ,Unknown,Rural-Local Road or Street,Not an Intersection,t
10065,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,t
10066,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Minor Arterial,Four-Way Intersection,f
10067,Rollover/Overturn,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,t
10068,Railway Vehicle,Daylight,Rural-Local Road or Street,Not an Intersection,f
10069,Fence,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
10070,Embankment,Daylight,Rural-Minor Arterial,Not an Intersection,t
10071,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Principal Arterial-Other Freeways or Expressways,Four-Way Intersection,t
10072,Live Animal,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,t
10073,Pedestrian,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
10074,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
10075,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,f
10076,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
10077,Guardrail Face,Daylight,Rural-Minor Arterial,Not an Intersection,f
10078,Ditch,Dusk,Rural-Minor Arterial,Not an Intersection,f
10079,Pedestrian,Daylight,Rural-Local Road or Street,Not an Intersection,f
10080,Motor Vehicle In-Transport ,Daylight,Rural-Minor Collector,Not an Intersection,f
10081,Railway Vehicle,Daylight,Rural-Local Road or Street,Not an Intersection,t
10082,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
10083,Rollover/Overturn,Daylight,Rural-Minor Collector,Not an Intersection,t
10084,"Other Post, Other Pole or Other Supports",Dark - Not Lighted,Rural-Major Collector,T-Intersection,t
10085,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Local Road or Street,Four-Way Intersection,f
10086,Rollover/Overturn,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,t
10087,Rollover/Overturn,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,t
10088,"Other Post, Other Pole or Other Supports",Dark - Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,t
10089,Rollover/Overturn,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,t
10090,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Minor Arterial,Four-Way Intersection,t
10091,Guardrail Face,Dark - Not Lighted,Urban-Collector,Not an Intersection,t
10092,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,t
10093,Guardrail Face,Dusk,Rural-Principal Arterial-Interstate,Not an Intersection,f
10094,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,t
10095,Motor Vehicle In-Transport ,Dawn,Rural-Principal Arterial-Other,Not an Intersection,f
10096,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Other Principal Arterial,Four-Way Intersection,t
10097,Motor Vehicle In-Transport ,Dusk,Rural-Principal Arterial-Other,Not an Intersection,t
10098,Other Fixed Object,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,t
10099,Ditch,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,t
10100,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Not an Intersection,f
10101,"Other Post, Other Pole or Other Supports",Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
10102,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,t
10103,Ditch,Daylight,Rural-Major Collector,Not an Intersection,t
