intervention_id,victim_id,accident_id,respondent_id
40025,40025,15995,40025
40026,40026,15996,40026
40027,40027,15997,40027
40028,40028,15997,40028
40029,40029,15998,40029
40030,40030,15998,40030
40031,40031,15999,40031
40032,40032,15999,40032
40033,40033,16000,40033
40034,40034,16000,40034
40035,40035,16001,40035
40036,40036,16002,40036
40037,40037,16002,40037
40038,40038,16002,40038
40039,40039,16003,40039
40040,40040,16003,40040
40041,40041,16003,40041
40042,40042,16003,40042
40043,40043,16004,40043
40044,40044,16004,40044
40045,40045,16004,40045
40046,40046,16004,40046
40047,40047,16004,40047
40048,40048,16005,40048
40049,40049,16005,40049
40050,40050,16005,40050
40051,40051,16005,40051
40052,40052,16005,40052
40053,40053,16005,40053
40054,40054,16006,40054
40055,40055,16006,40055
40056,40056,16006,40056
40057,40057,16007,40057
40058,40058,16007,40058
40059,40059,16007,40059
40060,40060,16007,40060
40061,40061,16008,40061
40062,40062,16008,40062
40063,40063,16008,40063
40064,40064,16008,40064
40065,40065,16009,40065
40066,40066,16009,40066
40067,40067,16009,40067
40068,40068,16009,40068
40069,40069,16009,40069
40070,40070,16010,40070
40071,40071,16010,40071
40072,40072,16010,40072
40073,40073,16010,40073
40074,40074,16010,40074
40075,40075,16010,40075
40076,40076,16010,40076
40077,40077,16010,40077
40078,40078,16010,40078
40079,40079,16010,40079
40080,40080,16010,40080
40081,40081,16011,40081
40082,40082,16012,40082
40083,40083,16012,40083
40084,40084,16013,40084
40085,40085,16013,40085
40086,40086,16013,40086
40087,40087,16013,40087
40088,40088,16014,40088
40089,40089,16014,40089
40090,40090,16015,40090
40091,40091,16015,40091
40092,40092,16016,40092
40093,40093,16017,40093
40094,40094,16017,40094
40095,40095,16018,40095
40096,40096,16018,40096
40097,40097,16019,40097
40098,40098,16019,40098
40099,40099,16020,40099
40100,40100,16021,40100
40101,40101,16021,40101
40102,40102,16021,40102
40103,40103,16022,40103
40104,40104,16022,40104
40105,40105,16022,40105
40106,40106,16023,40106
40107,40107,16023,40107
40108,40108,16024,40108
40109,40109,16024,40109
40110,40110,16025,40110
40111,40111,16025,40111
40112,40112,16025,40112
40113,40113,16026,40113
40114,40114,16026,40114
40115,40115,16027,40115
40116,40116,16028,40116
40117,40117,16028,40117
40118,40118,16028,40118
40119,40119,16029,40119
40120,40120,16029,40120
40121,40121,16029,40121
40122,40122,16030,40122
40123,40123,16030,40123
40124,40124,16031,40124
40125,40125,16031,40125
40126,40126,16032,40126
40127,40127,16033,40127
40128,40128,16033,40128
40129,40129,16034,40129
40130,40130,16034,40130
40131,40131,16034,40131
40132,40132,16035,40132
40133,40133,16035,40133
40134,40134,16036,40134
40135,40135,16037,40135
40136,40136,16037,40136
40137,40137,16037,40137
40138,40138,16037,40138
40139,40139,16037,40139
40140,40140,16037,40140
40141,40141,16037,40141
40142,40142,16038,40142
40143,40143,16038,40143
40144,40144,16038,40144
40145,40145,16038,40145
40146,40146,16038,40146
40147,40147,16038,40147
40148,40148,16038,40148
40149,40149,16038,40149
40150,40150,16038,40150
40151,40151,16038,40151
40152,40152,16038,40152
40153,40153,16039,40153
40154,40154,16039,40154
40155,40155,16039,40155
40156,40156,16040,40156
40157,40157,16040,40157
40158,40158,16040,40158
40159,40159,16041,40159
40160,40160,16042,40160
40161,40161,16042,40161
40162,40162,16043,40162
40163,40163,16043,40163
40164,40164,16044,40164
40165,40165,16044,40165
40166,40166,16045,40166
40167,40167,16046,40167
40168,40168,16046,40168
40169,40169,16047,40169
40170,40170,16047,40170
40171,40171,16048,40171
40172,40172,16048,40172
40173,40173,16049,40173
40174,40174,16049,40174
40175,40175,16050,40175
40176,40176,16050,40176
40177,40177,16051,40177
40178,40178,16052,40178
40179,40179,16053,40179
40180,40180,16053,40180
40181,40181,16054,40181
40182,40182,16054,40182
40183,40183,16054,40183
40184,40184,16054,40184
40185,40185,16054,40185
40186,40186,16055,40186
40187,40187,16055,40187
40188,40188,16055,40188
40189,40189,16055,40189
40190,40190,16056,40190
40191,40191,16056,40191
40192,40192,16057,40192
40193,40193,16058,40193
40194,40194,16059,40194
40195,40195,16059,40195
40196,40196,16059,40196
40197,40197,16060,40197
40198,40198,16060,40198
40199,40199,16060,40199
40200,40200,16061,40200
40201,40201,16061,40201
40202,40202,16062,40202
40203,40203,16062,40203
40204,40204,16062,40204
40205,40205,16063,40205
40206,40206,16063,40206
40207,40207,16064,40207
40208,40208,16064,40208
40209,40209,16064,40209
40210,40210,16065,40210
40211,40211,16065,40211
40212,40212,16065,40212
40213,40213,16066,40213
40214,40214,16066,40214
40215,40215,16066,40215
40216,40216,16066,40216
40217,40217,16067,40217
40218,40218,16067,40218
40219,40219,16068,40219
40220,40220,16068,40220
40221,40221,16069,40221
40222,40222,16069,40222
40223,40223,16070,40223
40224,40224,16070,40224
40225,40225,16070,40225
40226,40226,16070,40226
