intervention_id,victim_id,accident_id,respondent_id
81554,81557,32826,81554
81555,81558,32827,81555
81556,81559,32827,81556
81557,81560,32827,81557
81558,81561,32828,81558
81559,81562,32828,81559
81560,81563,32829,81560
81561,81564,32829,81561
81562,81565,32830,81562
81563,81566,32830,81563
81564,81567,32830,81564
81565,81568,32831,81565
81566,81569,32831,81566
81567,81570,32832,81567
81568,81571,32832,81568
81569,81572,32832,81569
81570,81573,32832,81570
81571,81574,32832,81571
81572,81575,32832,81572
81573,81576,32833,81573
81574,81577,32833,81574
81575,81578,32833,81575
81576,81579,32834,81576
81577,81580,32834,81577
81578,81581,32834,81578
81579,81582,32835,81579
81580,81583,32836,81580
81581,81584,32836,81581
81582,81585,32837,81582
81583,81586,32837,81583
81584,81587,32838,81584
81585,81588,32838,81585
81586,81589,32838,81586
81587,81590,32838,81587
81588,81591,32839,81588
81589,81592,32839,81589
81590,81593,32839,81590
81591,81594,32839,81591
81592,81595,32839,81592
81593,81596,32840,81593
81594,81597,32840,81594
81595,81598,32841,81595
81596,81599,32841,81596
81597,81600,32841,81597
81598,81601,32841,81598
81599,81602,32841,81599
81600,81603,32841,81600
81601,81604,32842,81601
81602,81605,32842,81602
81603,81606,32843,81603
81604,81607,32843,81604
81605,81608,32843,81605
81606,81609,32843,81606
81607,81610,32844,81607
81608,81611,32845,81608
81609,81612,32845,81609
81610,81613,32845,81610
81611,81614,32846,81611
81612,81615,32846,81612
81613,81616,32847,81613
81614,81617,32847,81614
81615,81618,32847,81615
81616,81619,32848,81616
81617,81620,32848,81617
81618,81621,32848,81618
81619,81622,32849,81619
81620,81623,32849,81620
81621,81624,32849,81621
81622,81625,32849,81622
81623,81626,32849,81623
81624,81627,32849,81624
81625,81628,32849,81625
81626,81629,32849,81626
81627,81630,32849,81627
81628,81631,32850,81628
81629,81632,32850,81629
81630,81633,32851,81630
81631,81634,32851,81631
81632,81635,32851,81632
81633,81636,32851,81633
81634,81637,32851,81634
81635,81638,32852,81635
81636,81639,32852,81636
81637,81640,32852,81637
81638,81641,32853,81638
81639,81642,32853,81639
81640,81643,32853,81640
81641,81644,32853,81641
81642,81645,32854,81642
81643,81646,32854,81643
81644,81647,32854,81644
81645,81648,32855,81645
81646,81649,32855,81646
81647,81650,32856,81647
81648,81651,32856,81648
81649,81652,32857,81649
81650,81653,32857,81650
81651,81654,32858,81651
81652,81655,32858,81652
81653,81656,32859,81653
81654,81657,32859,81654
81655,81658,32859,81655
81656,81659,32860,81656
81657,81660,32860,81657
81658,81661,32861,81658
81659,81662,32861,81659
81660,81663,32862,81660
81661,81664,32863,81661
81662,81665,32863,81662
81663,81666,32863,81663
81664,81667,32864,81664
81665,81668,32864,81665
81666,81669,32865,81666
81667,81670,32866,81667
81668,81671,32866,81668
81669,81672,32866,81669
81670,81673,32867,81670
81671,81674,32867,81671
81672,81675,32868,81672
81673,81676,32868,81673
81674,81677,32869,81674
81675,81678,32870,81675
81676,81679,32870,81676
81677,81680,32871,81677
81678,81681,32871,81678
81679,81682,32871,81679
81680,81683,32871,81680
81681,81684,32871,81681
81682,81685,32871,81682
81683,81686,32872,81683
81684,81687,32872,81684
81685,81688,32873,81685
81686,81689,32873,81686
81687,81690,32873,81687
