intervention_id,victim_id,accident_id,respondent_id
131626,131629,53276,131626
131627,131630,53277,131627
131628,131631,53277,131628
131629,131632,53278,131629
131630,131633,53278,131630
131631,131634,53279,131631
131632,131635,53280,131632
131633,131636,53280,131633
131634,131637,53281,131634
131635,131638,53281,131635
131636,131639,53282,131636
131637,131640,53282,131637
131638,131641,53283,131638
131639,131642,53283,131639
131640,131643,53284,131640
131641,131644,53285,131641
131642,131645,53285,131642
131643,131646,53285,131643
131644,131647,53286,131644
131645,131648,53286,131645
131646,131649,53287,131646
131647,131650,53287,131647
131648,131651,53288,131648
131649,131652,53288,131649
131650,131653,53289,131650
131651,131654,53289,131651
131652,131655,53290,131652
131653,131656,53290,131653
131654,131657,53291,131654
131655,131658,53291,131655
131656,131659,53291,131656
131657,131660,53292,131657
131658,131661,53292,131658
131659,131662,53292,131659
131660,131663,53293,131660
131661,131664,53293,131661
131662,131665,53294,131662
131663,131666,53295,131663
131664,131667,53295,131664
131665,131668,53296,131665
131666,131669,53296,131666
131667,131670,53297,131667
131668,131671,53297,131668
131669,131672,53297,131669
131670,131673,53297,131670
131671,131674,53298,131671
131672,131675,53298,131672
131673,131676,53298,131673
131674,131677,53299,131674
131675,131678,53299,131675
131676,131679,53300,131676
131677,131680,53300,131677
131678,131681,53300,131678
131679,131682,53300,131679
131680,131683,53300,131680
131681,131684,53300,131681
131682,131685,53301,131682
131683,131686,53301,131683
131684,131687,53302,131684
131685,131688,53302,131685
131686,131689,53303,131686
131687,131690,53303,131687
131688,131691,53303,131688
131689,131692,53303,131689
131690,131693,53303,131690
131691,131694,53303,131691
131692,131695,53303,131692
131693,131696,53304,131693
131694,131697,53304,131694
131695,131698,53305,131695
131696,131699,53305,131696
131697,131700,53306,131697
131698,131701,53306,131698
131699,131702,53307,131699
131700,131703,53307,131700
131701,131704,53308,131701
131702,131705,53308,131702
131703,131706,53308,131703
131704,131707,53308,131704
131705,131708,53309,131705
131706,131709,53309,131706
131707,131710,53310,131707
131708,131711,53310,131708
131709,131712,53311,131709
131710,131713,53311,131710
131711,131714,53312,131711
131712,131715,53313,131712
131713,131716,53313,131713
131714,131717,53313,131714
131715,131718,53314,131715
131716,131719,53314,131716
131717,131720,53314,131717
131718,131721,53314,131718
131719,131722,53314,131719
131720,131723,53315,131720
131721,131724,53315,131721
131722,131725,53315,131722
131723,131726,53316,131723
131724,131727,53316,131724
131725,131728,53317,131725
131726,131729,53317,131726
131727,131730,53317,131727
131728,131731,53317,131728
131729,131732,53317,131729
131730,131733,53318,131730
131731,131734,53318,131731
131732,131735,53319,131732
131733,131736,53320,131733
131734,131737,53321,131734
131735,131738,53322,131735
131736,131739,53322,131736
131737,131740,53323,131737
131738,131741,53323,131738
131739,131742,53323,131739
131740,131743,53323,131740
131741,131744,53323,131741
131742,131745,53324,131742
131743,131746,53324,131743
131744,131747,53325,131744
131745,131748,53325,131745
131746,131749,53325,131746
131747,131750,53325,131747
131748,131751,53325,131748
131749,131752,53325,131749
131750,131753,53326,131750
131751,131754,53326,131751
131752,131755,53326,131752
131753,131756,53326,131753
131754,131757,53327,131754
131755,131758,53327,131755
131756,131759,53328,131756
131757,131760,53328,131757
131758,131761,53328,131758
131759,131762,53328,131759
131760,131763,53329,131760
131761,131764,53329,131761
131762,131765,53329,131762
131763,131766,53330,131763
131764,131767,53330,131764
131765,131768,53331,131765
131766,131769,53332,131766
131767,131770,53332,131767
131768,131771,53332,131768
131769,131772,53333,131769
131770,131773,53334,131770
131771,131774,53334,131771
131772,131775,53335,131772
131773,131776,53336,131773
131774,131777,53336,131774
131775,131778,53337,131775
131776,131779,53337,131776
131777,131780,53337,131777
131778,131781,53338,131778
131779,131782,53338,131779
131780,131783,53339,131780
131781,131784,53339,131781
131782,131785,53339,131782
131783,131786,53339,131783
131784,131787,53340,131784
131785,131788,53340,131785
131786,131789,53340,131786
131787,131790,53341,131787
131788,131791,53341,131788
131789,131792,53341,131789
131790,131793,53342,131790
131791,131794,53342,131791
131792,131795,53343,131792
131793,131796,53343,131793
131794,131797,53344,131794
131795,131798,53345,131795
131796,131799,53346,131796
131797,131800,53346,131797
131798,131801,53346,131798
131799,131802,53346,131799
131800,131803,53346,131800
131801,131804,53346,131801
131802,131805,53346,131802
131803,131806,53346,131803
131804,131807,53347,131804
131805,131808,53347,131805
131806,131809,53348,131806
131807,131810,53349,131807
131808,131811,53349,131808
131809,131812,53349,131809
131810,131813,53350,131810
131811,131814,53351,131811
131812,131815,53351,131812
131813,131816,53351,131813
131814,131817,53352,131814
131815,131818,53353,131815
131816,131819,53353,131816
131817,131820,53354,131817
131818,131821,53354,131818
131819,131822,53355,131819
131820,131823,53355,131820
131821,131824,53356,131821
131822,131825,53356,131822
131823,131826,53357,131823
131824,131827,53357,131824
131825,131828,53357,131825
131826,131829,53358,131826
131827,131830,53359,131827
131828,131831,53360,131828
131829,131832,53360,131829
131830,131833,53360,131830
131831,131834,53360,131831
131832,131835,53360,131832
131833,131836,53360,131833
131834,131837,53361,131834
131835,131838,53362,131835
131836,131839,53362,131836
131837,131840,53362,131837
131838,131841,53362,131838
131839,131842,53362,131839
131840,131843,53363,131840
131841,131844,53363,131841
131842,131845,53364,131842
131843,131846,53364,131843
131844,131847,53365,131844
131845,131848,53365,131845
131846,131849,53365,131846
131847,131850,53366,131847
131848,131851,53366,131848
131849,131852,53366,131849
131850,131853,53367,131850
131851,131854,53367,131851
131852,131855,53368,131852
131853,131856,53369,131853
131854,131857,53369,131854
131855,131858,53370,131855
131856,131859,53370,131856
131857,131860,53370,131857
131858,131861,53370,131858
131859,131862,53371,131859
131860,131863,53371,131860
131861,131864,53371,131861
131862,131865,53371,131862
131863,131866,53371,131863
131864,131867,53371,131864
