detail_id,detail_information,light_condition,road_function,intersection_type,drunk_driving
42798,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,f
42799,Motor Vehicle In-Transport ,Daylight,Rural-Local Road or Street,Not an Intersection,f
42800,Motor Vehicle In-Transport ,Daylight,Rural-Local Road or Street,Not an Intersection,f
42801,Rollover/Overturn,Daylight,Urban-Local Road or Street,Not an Intersection,f
42802,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,Four-Way Intersection,f
42803,Rollover/Overturn,Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,t
42804,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Not an Intersection,f
42805,Pedalcyclist,Daylight,Urban-Minor Arterial,Not an Intersection,f
42806,Motor Vehicle In-Transport ,Daylight,Rural-Local Road or Street,Not an Intersection,f
42807,Curb,Dark - Lighted,Urban-Local Road or Street,Not an Intersection,f
42808,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
42809,Motor Vehicle In-Transport ,Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
42810,Rollover/Overturn,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
42811,Pedalcyclist,Dark - Lighted,Urban-Other Principal Arterial,Four-Way Intersection,f
42812,Curb,Dark - Lighted,Rural-Local Road or Street,Not an Intersection,t
42813,Pedestrian,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
42814,Tree (Standing Only),Dark - Lighted,Urban-Minor Arterial,Not an Intersection,t
42815,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,f
42816,Motor Vehicle In-Transport ,Dawn,Rural-Minor Arterial,Not an Intersection,t
42817,Rollover/Overturn,Dusk,Urban-Principal Arterial-Interstate,Not an Intersection,f
42818,Concrete Traffic Barrier,Dark - Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,t
