detail_id,detail_information,light_condition,road_function,intersection_type,drunk_driving
52793,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,Four-Way Intersection,f
52794,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,f
52795,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,Four-Way Intersection,f
52796,Pedestrian,Dark - Lighted,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
52797,Curb,Dark - Lighted,Urban-Minor Arterial,Not an Intersection,t
52798,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,T-Intersection,f
52799,Guardrail Face,Dark - Lighted,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,t
52800,Curb,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,t
52801,Curb,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
52802,Pedestrian,Dark - Not Lighted,Rural-Unknown Rural,T-Intersection,f
52803,Pedestrian,Dark - Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,f
52804,Curb,Daylight,Urban-Minor Arterial,Not an Intersection,t
52805,Pedestrian,Daylight,Urban-Minor Arterial,Not an Intersection,f
52806,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",Dusk,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
52807,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Other Principal Arterial,Four-Way Intersection,f
52808,"Other Post, Other Pole or Other Supports",Daylight,Urban-Other Principal Arterial,Not an Intersection,f
52809,Bridge Pier or Support,Dark - Not Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,t
52810,Guardrail Face,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,t
52811,Building,Dark - Lighted,Urban-Local Road or Street,Not an Intersection,f
52812,Motor Vehicle In-Transport ,Dark - Not Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,t
52813,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,t
