detail_id,detail_information,light_condition,road_function,intersection_type,drunk_driving
62813,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,T-Intersection,t
62814,Pedestrian,Dark - Not Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,f
62815,Fell/Jumped from Vehicle,Dark - Not Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,f
62816,Curb,Dark - Lighted,Urban-Local Road or Street,Not an Intersection,t
62817,Ground,Daylight,Urban-Local Road or Street,Not an Intersection,f
62818,Motor Vehicle In-Transport ,Daylight,Urban-Local Road or Street,Four-Way Intersection,f
62819,Pedestrian,Dark - Lighted,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
62820,Motor Vehicle In-Transport ,Dawn,Rural-Principal Arterial-Other,Not an Intersection,f
62821,Concrete Traffic Barrier,Dark - Lighted,Rural-Major Collector,Not an Intersection,t
62822,Impact Attenuator/Crash Cushion,Dark - Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,t
62823,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Not an Intersection,f
62824,Motor Vehicle In-Transport ,Dark - Lighted,Rural-Minor Arterial,Not an Intersection,f
62825,Motor Vehicle In-Transport ,Dark - Not Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,t
62826,Motor Vehicle In-Transport ,Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
62827,Rollover/Overturn,Daylight,Rural-Local Road or Street,Not an Intersection,t
62828,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
62829,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
62830,Curb,Dark - Lighted,Urban-Local Road or Street,Not an Intersection,t
62831,Motor Vehicle In-Transport ,Daylight,Urban-Local Road or Street,Not an Intersection,f
62832,Guardrail End,Dark - Not Lighted,Urban-Other Principal Arterial,Not an Intersection,t
62833,Motor Vehicle In-Transport ,Dawn,Urban-Minor Arterial,Not an Intersection,t
62834,Curb,Dark - Lighted,Urban-Local Road or Street,Not an Intersection,t
62835,Motor Vehicle In-Transport ,Dark - Not Lighted,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
62836,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
62837,Pedestrian,Unknown,Rural-Principal Arterial-Other,Not an Intersection,f
62838,Mail Box,Daylight,Rural-Local Road or Street,Not an Intersection,f
62839,Motor Vehicle In-Transport ,Daylight,Urban-Local Road or Street,T-Intersection,t
62840,Tree (Standing Only),Daylight,Rural-Minor Arterial,Not an Intersection,f
62841,Pedestrian,Dark - Lighted,Urban-Minor Arterial,Not an Intersection,f
62842,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
62843,Rollover/Overturn,Daylight,Rural-Major Collector,Not an Intersection,f
62844,Pedestrian,Dark - Not Lighted,Urban-Local Road or Street,Not an Intersection,f
62845,Motor Vehicle In-Transport ,Daylight,Urban-Local Road or Street,Four-Way Intersection,f
62846,Traffic Sign Support ,Dark - Not Lighted,Urban-Other Principal Arterial,Not an Intersection,t
62847,Cable Barrier,Dark - Not Lighted,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,t
62848,Pedestrian,Dark - Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,f
62849,Motor Vehicle In-Transport ,Daylight,Urban-Local Road or Street,T-Intersection,f
62850,Pedestrian,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
62851,Tree (Standing Only),Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
62852,Motor Vehicle In-Transport ,Dawn,Rural-Major Collector,Not an Intersection,f
62853,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Four-Way Intersection,f
62854,Rollover/Overturn,Daylight,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
62855,Curb,Dark - Lighted,Urban-Other Principal Arterial,Four-Way Intersection,t
62856,Motor Vehicle In-Transport ,Daylight,Urban-Local Road or Street,Four-Way Intersection,f
62857,Guardrail Face,Daylight,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,t
62858,Motor Vehicle In-Transport ,Dusk,Rural-Minor Arterial,Not an Intersection,t
62859,Motor Vehicle In-Transport ,Daylight,Urban-Unknown Urban,Not an Intersection,t
62860,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,t
62861,Rollover/Overturn,Daylight,Rural-Major Collector,Not an Intersection,f
62862,Live Animal,Daylight,Rural-Major Collector,Not an Intersection,f
62863,Embankment,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,f
62864,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Not an Intersection,t
62865,Curb,Dark - Lighted,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
62866,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Principal Arterial-Interstate,Four-Way Intersection,t
62867,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
62868,Motor Vehicle In-Transport ,Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
62869,Motor Vehicle In-Transport ,Dark - Unknown Lighting,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
62870,Traffic Sign Support ,Daylight,Urban-Local Road or Street,Not an Intersection,f
62871,Rollover/Overturn,Daylight,Rural-Principal Arterial-Other,Not an Intersection,t
62872,Pedestrian,Daylight,Urban-Principal Arterial-Interstate,Four-Way Intersection,f
62873,Motor Vehicle In-Transport ,Dark - Not Lighted,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
62874,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Principal Arterial-Interstate,Four-Way Intersection,f
62875,Motor Vehicle In-Transport ,Daylight,Urban-Collector,Not an Intersection,f
62876,Other Non-Collision,Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
62877,Pedestrian,Dusk,Urban-Other Principal Arterial,Not an Intersection,f
62878,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,t
62879,Pedestrian,Dark - Lighted,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
62880,Motor Vehicle In-Transport ,Daylight,Urban-Local Road or Street,Not an Intersection,f
62881,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Local Road or Street,Not an Intersection,f
62882,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
62883,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
62884,Rollover/Overturn,Dark - Not Lighted,Urban-Local Road or Street,Not an Intersection,f
62885,Impact Attenuator/Crash Cushion,Dark - Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,f
62886,Guardrail Face,Dark - Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,f
62887,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,Four-Way Intersection,f
62888,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,Not an Intersection,f
62889,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Not an Intersection,f
62890,Rollover/Overturn,Dawn,Urban-Other Principal Arterial,Not an Intersection,t
62891,Pedestrian,Dark - Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,f
62892,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Minor Arterial,T-Intersection,t
62893,Pedestrian,Dusk,Urban-Local Road or Street,Not an Intersection,f
62894,Rollover/Overturn,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,t
62895,Culvert,Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
62896,Rollover/Overturn,Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,f
62897,Motor Vehicle In-Transport ,Dawn,Rural-Minor Arterial,Not an Intersection,t
62898,Curb,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,f
62899,Railway Vehicle,Daylight,Urban-Local Road or Street,Not an Intersection,f
62900,Motor Vehicle In-Transport ,Daylight,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
62901,Motor Vehicle In-Transport ,Dark - Not Lighted,Urban-Other Principal Arterial,Not an Intersection,t
62902,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,T-Intersection,t
62903,Fence,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,t
62904,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,t
62905,Tree (Standing Only),Dark - Lighted,Urban-Local Road or Street,Not an Intersection,t
62906,Mail Box,Dark - Lighted,Urban-Local Road or Street,Not an Intersection,t
62907,Pedestrian,Daylight,Urban-Local Road or Street,Four-Way Intersection,f
62908,Rollover/Overturn,Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,f
62909,Fence,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,t
62910,Pedestrian,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
62911,Tree (Standing Only),Dark - Lighted,Urban-Local Road or Street,T-Intersection,t
62912,Concrete Traffic Barrier,Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
62913,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,T-Intersection,f
62914,Rollover/Overturn,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,f
62915,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Not an Intersection,f
62916,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Not an Intersection,f
62917,Culvert,Daylight,Rural-Major Collector,Not an Intersection,f
62918,Rollover/Overturn,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,t
62919,Motor Vehicle In-Transport ,Daylight,Rural-Local Road or Street,Not an Intersection,f
62920,Rollover/Overturn,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
62921,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
62922,Rollover/Overturn,Daylight,Rural-Local Road or Street,Not an Intersection,f
62923,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,t
62924,Rollover/Overturn,Dark - Not Lighted,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,t
62925,Motor Vehicle In-Transport ,Daylight,Rural-Local Road or Street,Not an Intersection,f
62926,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
62927,Guardrail End,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,f
62928,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Local Road or Street,Four-Way Intersection,f
62929,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Four-Way Intersection,t
62930,Pedestrian,Dark - Not Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,f
62931,Fence,Dark - Not Lighted,Rural-Minor Collector,Not an Intersection,f
62932,Pedalcyclist,Dawn,Rural-Major Collector,Not an Intersection,f
62933,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,Four-Way Intersection,f
62934,Culvert,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
62935,Motor Vehicle In-Transport ,Dark - Not Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,f
62936,Motor Vehicle In-Transport ,Daylight,Urban-Principal Arterial-Interstate,Not an Intersection,f
62937,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
62938,Fence,Daylight,Rural-Local Road or Street,Not an Intersection,f
62939,Rollover/Overturn,Daylight,Rural-Major Collector,Not an Intersection,t
62940,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Not an Intersection,t
62941,Pedestrian,Daylight,Urban-Local Road or Street,T-Intersection,f
62942,Motor Vehicle In-Transport ,Daylight,Urban-Principal Arterial-Other Freeways or Expressways,Four-Way Intersection,f
62943,Embankment,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,t
62944,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
62945,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,f
62946,Motor Vehicle In-Transport ,Daylight,Urban-Principal Arterial-Other Freeways or Expressways,Four-Way Intersection,f
62947,Pedestrian,Dark - Lighted,Urban-Other Principal Arterial,T-Intersection,f
62948,Curb,Dark - Lighted,Urban-Local Road or Street,Not an Intersection,t
62949,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Not an Intersection,t
62950,Tree (Standing Only),Daylight,Rural-Local Road or Street,Not an Intersection,f
62951,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Other Principal Arterial,T-Intersection,f
62952,Motor Vehicle In-Transport ,Dark - Not Lighted,Urban-Minor Arterial,T-Intersection,f
62953,Guardrail Face,Dark - Not Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,f
62954,Pedalcyclist,Daylight,Urban-Other Principal Arterial,Not an Intersection,f
62955,Rollover/Overturn,Dark - Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,f
62956,Fire Hydrant,Daylight,Urban-Local Road or Street,Not an Intersection,f
62957,Tree (Standing Only),Daylight,Rural-Local Road or Street,Not an Intersection,t
62958,Pedestrian,Dark - Not Lighted,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
62959,Motor Vehicle In-Transport ,Daylight,Urban-Principal Arterial-Other Freeways or Expressways,Not an Intersection,f
62960,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Not an Intersection,t
62961,Pedalcyclist,Daylight,Rural-Principal Arterial-Other,T-Intersection,f
62962,Motor Vehicle In-Transport ,Daylight,Urban-Unknown Urban,Four-Way Intersection,f
