detail_id,detail_information,light_condition,road_function,intersection_type,drunk_driving
72851,Embankment,Dark - Not Lighted,Rural-Principal Arterial-Other,Four-Way Intersection,t
72852,Rollover/Overturn,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
72853,Concrete Traffic Barrier,Daylight,Rural-Local Road or Street,Not an Intersection,f
72854,Pedestrian,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
72855,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,t
72856,Pedestrian,Daylight,Urban-Local Road or Street,Four-Way Intersection,f
72857,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,f
72858,Pedestrian,Daylight,Rural-Local Road or Street,T-Intersection,f
72859,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Not an Intersection,f
72860,Rollover/Overturn,Daylight,Rural-Local Road or Street,Not an Intersection,f
72861,Pedestrian,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,t
72862,Rollover/Overturn,Daylight,Rural-Local Road or Street,Not an Intersection,f
72863,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Not an Intersection,f
72864,Embankment,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
72865,Live Animal,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,f
72866,Motor Vehicle In-Transport ,Dark - Lighted,Rural-Minor Arterial,Four-Way Intersection,f
72867,Motor Vehicle In-Transport ,Dawn,Urban-Minor Arterial,Four-Way Intersection,f
72868,Embankment,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,t
72869,Pedestrian,Dark - Lighted,Rural-Local Road or Street,Not an Intersection,f
72870,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Not an Intersection,f
72871,Rollover/Overturn,Daylight,Rural-Major Collector,Not an Intersection,f
72872,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
72873,Embankment,Daylight,Rural-Major Collector,Not an Intersection,t
72874,Rollover/Overturn,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
72875,Rollover/Overturn,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,f
72876,Bridge Pier or Support,Dark - Not Lighted,Urban-Local Road or Street,Not an Intersection,f
72877,Other Fixed Object,Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,t
72878,Rollover/Overturn,Dark - Lighted,Urban-Local Road or Street,Not an Intersection,t
72879,Guardrail Face,Dark - Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,t
72880,Motor Vehicle In-Transport ,Daylight,Urban-Local Road or Street,Four-Way Intersection,f
72881,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Not an Intersection,f
72882,Embankment,Dark - Not Lighted,Rural-Major Collector,T-Intersection,f
72883,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Major Collector,Four-Way Intersection,f
72884,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Not an Intersection,f
72885,Pedestrian,Dark - Not Lighted,Urban-Local Road or Street,Not an Intersection,f
72886,Motor Vehicle In-Transport ,Daylight,Rural-Local Road or Street,Not an Intersection,f
72887,Railway Vehicle,Daylight,Rural-Local Road or Street,Not an Intersection,f
72888,Rollover/Overturn,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,f
72889,Parked Motor Vehicle ,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,f
72890,Impact Attenuator/Crash Cushion,Daylight,Rural-Local Road or Street,Not an Intersection,t
72891,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Not an Intersection,f
72892,Embankment,Dark - Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,f
72893,Railway Vehicle,Daylight,Rural-Local Road or Street,Not an Intersection,f
72894,Rollover/Overturn,Daylight,Rural-Principal Arterial-Other,Not an Intersection,t
72895,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Minor Arterial,Four-Way Intersection,f
72896,Embankment,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,f
72897,Embankment,Daylight,Urban-Local Road or Street,Not an Intersection,f
72898,Embankment,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,f
72899,Motor Vehicle In-Transport ,Daylight,Urban-Local Road or Street,Not an Intersection,f
72900,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
72901,Tree (Standing Only),Daylight,Urban-Local Road or Street,Not an Intersection,t
72902,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Not an Intersection,f
72903,Pedestrian,Daylight,Rural-Local Road or Street,Not an Intersection,f
72904,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,t
72905,Embankment,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
72906,Embankment,Dusk,Rural-Major Collector,Not an Intersection,t
72907,Rollover/Overturn,Daylight,Rural-Minor Arterial,Not an Intersection,f
72908,Rollover/Overturn,Daylight,Rural-Major Collector,Four-Way Intersection,f
72909,Pedestrian,Dark - Lighted,Urban-Local Road or Street,Four-Way Intersection,f
72910,Embankment,Daylight,Rural-Local Road or Street,Not an Intersection,f
72911,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Other,Four-Way Intersection,f
72912,Rollover/Overturn,Daylight,Rural-Principal Arterial-Other,Not an Intersection,t
72913,Motor Vehicle In-Transport ,Daylight,Rural-Local Road or Street,Four-Way Intersection,f
72914,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Four-Way Intersection,f
72915,Curb,Daylight,Urban-Local Road or Street,Not an Intersection,t
72916,Pedestrian,Dark - Not Lighted,Urban-Local Road or Street,T-Intersection,f
72917,Ground,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,t
72918,Railway Vehicle,Daylight,Rural-Local Road or Street,Not an Intersection,f
72919,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Not an Intersection,f
72920,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
72921,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
72922,Rollover/Overturn,Dark - Not Lighted,Rural-Local Road or Street,T-Intersection,t
72923,Rollover/Overturn,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
72924,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Four-Way Intersection,f
72925,Pedestrian,Dark - Lighted,Urban-Local Road or Street,Four-Way Intersection,f
72926,Embankment,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,f
72927,Rollover/Overturn,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,t
72928,Rollover/Overturn,Dark - Lighted,Urban-Local Road or Street,Not an Intersection,t
72929,Utility Pole/Light Support,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,f
72930,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Not an Intersection,f
72931,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Not an Intersection,f
72932,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
72933,Rollover/Overturn,Daylight,Rural-Local Road or Street,Not an Intersection,f
72934,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
72935,Rollover/Overturn,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,t
72936,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
72937,Parked Motor Vehicle ,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
72938,Rollover/Overturn,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,f
72939,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Four-Way Intersection,f
72940,Tree (Standing Only),Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,f
72941,Tree (Standing Only),Dark - Lighted,Rural-Major Collector,Not an Intersection,f
72942,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Four-Way Intersection,f
72943,Motor Vehicle In-Transport ,Dark - Not Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,t
72944,Rollover/Overturn,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,f
72945,Motor Vehicle In-Transport ,Daylight,Urban-Local Road or Street,Not an Intersection,f
72946,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,f
72947,Rollover/Overturn,Daylight,Rural-Local Road or Street,Not an Intersection,f
72948,Rollover/Overturn,Dark - Not Lighted,Rural-Local Road or Street,T-Intersection,t
72949,Embankment,Daylight,Rural-Minor Arterial,Not an Intersection,f
72950,Utility Pole/Light Support,Dark - Lighted,Urban-Principal Arterial-Interstate,Not an Intersection,t
72951,Motor Vehicle In-Transport ,Daylight,Urban-Local Road or Street,Four-Way Intersection,f
72952,Embankment,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
72953,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Four-Way Intersection,f
