intervention_id,victim_id,accident_id,respondent_id
91585,91588,37036,91585
91586,91589,37036,91586
91587,91590,37036,91587
91588,91591,37036,91588
91589,91592,37036,91589
91590,91593,37036,91590
91591,91594,37036,91591
91592,91595,37037,91592
91593,91596,37038,91593
91594,91597,37039,91594
91595,91598,37039,91595
91596,91599,37040,91596
91597,91600,37040,91597
91598,91601,37041,91598
91599,91602,37041,91599
91600,91603,37041,91600
91601,91604,37042,91601
91602,91605,37042,91602
91603,91606,37043,91603
91604,91607,37043,91604
91605,91608,37044,91605
91606,91609,37044,91606
91607,91610,37044,91607
91608,91611,37044,91608
91609,91612,37045,91609
91610,91613,37046,91610
91611,91614,37047,91611
91612,91615,37047,91612
91613,91616,37048,91613
91614,91617,37048,91614
91615,91618,37049,91615
91616,91619,37049,91616
91617,91620,37050,91617
91618,91621,37050,91618
91619,91622,37050,91619
91620,91623,37051,91620
91621,91624,37051,91621
91622,91625,37051,91622
91623,91626,37051,91623
91624,91627,37052,91624
91625,91628,37052,91625
91626,91629,37053,91626
91627,91630,37054,91627
91628,91631,37054,91628
91629,91632,37055,91629
91630,91633,37055,91630
91631,91634,37056,91631
91632,91635,37057,91632
91633,91636,37057,91633
91634,91637,37057,91634
91635,91638,37058,91635
91636,91639,37059,91636
91637,91640,37060,91637
91638,91641,37061,91638
91639,91642,37062,91639
91640,91643,37062,91640
91641,91644,37063,91641
91642,91645,37063,91642
91643,91646,37064,91643
91644,91647,37064,91644
91645,91648,37065,91645
91646,91649,37065,91646
91647,91650,37066,91647
91648,91651,37066,91648
91649,91652,37066,91649
91650,91653,37066,91650
91651,91654,37066,91651
91652,91655,37067,91652
91653,91656,37068,91653
91654,91657,37068,91654
91655,91658,37069,91655
91656,91659,37069,91656
91657,91660,37070,91657
91658,91661,37070,91658
91659,91662,37071,91659
91660,91663,37071,91660
91661,91664,37071,91661
91662,91665,37071,91662
91663,91666,37072,91663
91664,91667,37072,91664
91665,91668,37072,91665
91666,91669,37072,91666
91667,91670,37073,91667
91668,91671,37073,91668
91669,91672,37074,91669
91670,91673,37074,91670
91671,91674,37075,91671
91672,91675,37075,91672
91673,91676,37076,91673
91674,91677,37076,91674
91675,91678,37077,91675
91676,91679,37077,91676
91677,91680,37078,91677
91678,91681,37078,91678
91679,91682,37078,91679
91680,91683,37078,91680
91681,91684,37079,91681
91682,91685,37080,91682
91683,91686,37080,91683
91684,91687,37081,91684
91685,91688,37082,91685
91686,91689,37082,91686
91687,91690,37083,91687
91688,91691,37083,91688
91689,91692,37084,91689
91690,91693,37084,91690
91691,91694,37085,91691
91692,91695,37085,91692
91693,91696,37085,91693
91694,91697,37086,91694
91695,91698,37086,91695
91696,91699,37087,91696
91697,91700,37087,91697
91698,91701,37087,91698
91699,91702,37087,91699
91700,91703,37088,91700
91701,91704,37089,91701
91702,91705,37089,91702
91703,91706,37090,91703
91704,91707,37091,91704
91705,91708,37092,91705
91706,91709,37092,91706
91707,91710,37093,91707
91708,91711,37093,91708
91709,91712,37094,91709
91710,91713,37095,91710
91711,91714,37096,91711
91712,91715,37096,91712
91713,91716,37097,91713
91714,91717,37098,91714
91715,91718,37098,91715
91716,91719,37098,91716
91717,91720,37099,91717
91718,91721,37100,91718
91719,91722,37100,91719
91720,91723,37100,91720
91721,91724,37101,91721
91722,91725,37101,91722
91723,91726,37101,91723
91724,91727,37101,91724
91725,91728,37101,91725
91726,91729,37102,91726
91727,91730,37103,91727
91728,91731,37103,91728
91729,91732,37103,91729
91730,91733,37104,91730
91731,91734,37104,91731
91732,91735,37105,91732
91733,91736,37105,91733
91734,91737,37106,91734
91735,91738,37107,91735
91736,91739,37107,91736
91737,91740,37107,91737
91738,91741,37107,91738
91739,91742,37107,91739
91740,91743,37107,91740
91741,91744,37108,91741
91742,91745,37108,91742
91743,91746,37108,91743
91744,91747,37109,91744
91745,91748,37109,91745
91746,91749,37109,91746
91747,91750,37109,91747
91748,91751,37109,91748
91749,91752,37109,91749
91750,91753,37109,91750
91751,91754,37109,91751
91752,91755,37109,91752
91753,91756,37109,91753
91754,91757,37109,91754
91755,91758,37109,91755
91756,91759,37109,91756
91757,91760,37109,91757
91758,91761,37109,91758
91759,91762,37109,91759
91760,91763,37109,91760
91761,91764,37110,91761
91762,91765,37111,91762
91763,91766,37111,91763
91764,91767,37112,91764
91765,91768,37112,91765
91766,91769,37112,91766
91767,91770,37112,91767
91768,91771,37113,91768
91769,91772,37113,91769
91770,91773,37114,91770
91771,91774,37114,91771
91772,91775,37115,91772
91773,91776,37115,91773
91774,91777,37115,91774
91775,91778,37115,91775
91776,91779,37115,91776
91777,91780,37116,91777
91778,91781,37116,91778
91779,91782,37116,91779
91780,91783,37116,91780
91781,91784,37116,91781
91782,91785,37116,91782
91783,91786,37117,91783
91784,91787,37117,91784
91785,91788,37118,91785
91786,91789,37118,91786
91787,91790,37118,91787
91788,91791,37118,91788
91789,91792,37119,91789
91790,91793,37119,91790
91791,91794,37120,91791
91792,91795,37121,91792
91793,91796,37122,91793
91794,91797,37122,91794
91795,91798,37123,91795
91796,91799,37123,91796
91797,91800,37123,91797
91798,91801,37123,91798
91799,91802,37124,91799
91800,91803,37124,91800
91801,91804,37125,91801
91802,91805,37126,91802
91803,91806,37126,91803
91804,91807,37127,91804
91805,91808,37127,91805
91806,91809,37127,91806
91807,91810,37128,91807
91808,91811,37128,91808
91809,91812,37129,91809
91810,91813,37129,91810
91811,91814,37130,91811
91812,91815,37130,91812
91813,91816,37130,91813
91814,91817,37130,91814
91815,91818,37130,91815
91816,91819,37131,91816
91817,91820,37131,91817
91818,91821,37131,91818
91819,91822,37132,91819
91820,91823,37132,91820
91821,91824,37132,91821
91822,91825,37132,91822
91823,91826,37133,91823
91824,91827,37133,91824
91825,91828,37133,91825
91826,91829,37133,91826
91827,91830,37133,91827
91828,91831,37133,91828
91829,91832,37133,91829
91830,91833,37133,91830
91831,91834,37133,91831
91832,91835,37134,91832
91833,91836,37134,91833
91834,91837,37134,91834
91835,91838,37135,91835
91836,91839,37135,91836
91837,91840,37135,91837
91838,91841,37136,91838
91839,91842,37136,91839
91840,91843,37136,91840
91841,91844,37136,91841
91842,91845,37137,91842
91843,91846,37137,91843
91844,91847,37137,91844
91845,91848,37137,91845
91846,91849,37137,91846
91847,91850,37138,91847
91848,91851,37139,91848
91849,91852,37139,91849
91850,91853,37139,91850
91851,91854,37139,91851
91852,91855,37139,91852
91853,91856,37140,91853
91854,91857,37140,91854
91855,91858,37140,91855
91856,91859,37140,91856
91857,91860,37141,91857
91858,91861,37141,91858
91859,91862,37142,91859
91860,91863,37142,91860
91861,91864,37143,91861
91862,91865,37143,91862
91863,91866,37143,91863
91864,91867,37143,91864
91865,91868,37143,91865
91866,91869,37143,91866
91867,91870,37144,91867
91868,91871,37145,91868
91869,91872,37145,91869
91870,91873,37145,91870
91871,91874,37146,91871
91872,91875,37147,91872
91873,91876,37147,91873
91874,91877,37147,91874
91875,91878,37147,91875
91876,91879,37147,91876
91877,91880,37148,91877
91878,91881,37148,91878
91879,91882,37149,91879
91880,91883,37150,91880
91881,91884,37150,91881
91882,91885,37150,91882
91883,91886,37151,91883
91884,91887,37151,91884
91885,91888,37151,91885
91886,91889,37152,91886
91887,91890,37153,91887
91888,91891,37153,91888
91889,91892,37153,91889
91890,91893,37154,91890
91891,91894,37155,91891
91892,91895,37155,91892
91893,91896,37155,91893
91894,91897,37155,91894
91895,91898,37156,91895
91896,91899,37156,91896
91897,91900,37156,91897
91898,91901,37157,91898
91899,91902,37158,91899
91900,91903,37158,91900
91901,91904,37158,91901
91902,91905,37159,91902
91903,91906,37159,91903
91904,91907,37159,91904
91905,91908,37160,91905
91906,91909,37161,91906
91907,91910,37161,91907
91908,91911,37161,91908
91909,91912,37162,91909
91910,91913,37162,91910
91911,91914,37162,91911
91912,91915,37162,91912
91913,91916,37163,91913
91914,91917,37163,91914
91915,91918,37164,91915
91916,91919,37164,91916
91917,91920,37164,91917
91918,91921,37164,91918
91919,91922,37165,91919
91920,91923,37165,91920
91921,91924,37166,91921
91922,91925,37166,91922
91923,91926,37167,91923
91924,91927,37168,91924
91925,91928,37168,91925
91926,91929,37169,91926
91927,91930,37169,91927
91928,91931,37170,91928
91929,91932,37170,91929
91930,91933,37171,91930
91931,91934,37171,91931
91932,91935,37171,91932
91933,91936,37171,91933
91934,91937,37172,91934
91935,91938,37172,91935
91936,91939,37172,91936
91937,91940,37173,91937
91938,91941,37173,91938
91939,91942,37174,91939
91940,91943,37174,91940
91941,91944,37175,91941
91942,91945,37175,91942
91943,91946,37176,91943
91944,91947,37176,91944
91945,91948,37176,91945
91946,91949,37177,91946
91947,91950,37177,91947
91948,91951,37177,91948
91949,91952,37177,91949
91950,91953,37177,91950
91951,91954,37178,91951
91952,91955,37178,91952
91953,91956,37178,91953
91954,91957,37178,91954
91955,91958,37179,91955
91956,91959,37179,91956
91957,91960,37179,91957
91958,91961,37180,91958
91959,91962,37180,91959
91960,91963,37181,91960
91961,91964,37181,91961
91962,91965,37181,91962
91963,91966,37182,91963
91964,91967,37182,91964
91965,91968,37183,91965
91966,91969,37183,91966
91967,91970,37184,91967
91968,91971,37184,91968
91969,91972,37185,91969
91970,91973,37186,91970
91971,91974,37187,91971
91972,91975,37187,91972
91973,91976,37188,91973
91974,91977,37188,91974
91975,91978,37188,91975
91976,91979,37188,91976
91977,91980,37189,91977
91978,91981,37189,91978
91979,91982,37189,91979
91980,91983,37189,91980
91981,91984,37189,91981
91982,91985,37189,91982
91983,91986,37189,91983
91984,91987,37189,91984
91985,91988,37190,91985
91986,91989,37190,91986
91987,91990,37190,91987
91988,91991,37191,91988
91989,91992,37191,91989
91990,91993,37192,91990
91991,91994,37192,91991
91992,91995,37192,91992
91993,91996,37192,91993
91994,91997,37192,91994
91995,91998,37192,91995
91996,91999,37192,91996
91997,92000,37192,91997
91998,92001,37192,91998
91999,92002,37193,91999
92000,92003,37193,92000
92001,92004,37193,92001
92002,92005,37193,92002
92003,92006,37194,92003
92004,92007,37194,92004
92005,92008,37194,92005
92006,92009,37194,92006
92007,92010,37195,92007
92008,92011,37195,92008
92009,92012,37195,92009
92010,92013,37195,92010
92011,92014,37196,92011
92012,92015,37196,92012
92013,92016,37196,92013
92014,92017,37196,92014
92015,92018,37196,92015
92016,92019,37196,92016
92017,92020,37196,92017
92018,92021,37197,92018
92019,92022,37197,92019
92020,92023,37197,92020
92021,92024,37197,92021
92022,92025,37198,92022
92023,92026,37198,92023
92024,92027,37198,92024
92025,92028,37198,92025
92026,92029,37199,92026
92027,92030,37199,92027
92028,92031,37200,92028
92029,92032,37200,92029
92030,92033,37200,92030
92031,92034,37200,92031
92032,92035,37201,92032
92033,92036,37201,92033
92034,92037,37201,92034
92035,92038,37201,92035
92036,92039,37201,92036
92037,92040,37201,92037
92038,92041,37202,92038
92039,92042,37202,92039
92040,92043,37202,92040
92041,92044,37202,92041
92042,92045,37202,92042
92043,92046,37202,92043
92044,92047,37202,92044
92045,92048,37203,92045
92046,92049,37203,92046
92047,92050,37204,92047
92048,92051,37205,92048
92049,92052,37205,92049
92050,92053,37206,92050
92051,92054,37206,92051
92052,92055,37207,92052
92053,92056,37208,92053
92054,92057,37208,92054
92055,92058,37208,92055
92056,92059,37208,92056
92057,92060,37209,92057
92058,92061,37209,92058
92059,92062,37209,92059
92060,92063,37209,92060
92061,92064,37209,92061
92062,92065,37209,92062
92063,92066,37210,92063
92064,92067,37211,92064
92065,92068,37212,92065
92066,92069,37212,92066
92067,92070,37212,92067
92068,92071,37212,92068
92069,92072,37213,92069
92070,92073,37213,92070
92071,92074,37213,92071
92072,92075,37213,92072
92073,92076,37214,92073
92074,92077,37214,92074
92075,92078,37215,92075
92076,92079,37216,92076
92077,92080,37216,92077
92078,92081,37217,92078
92079,92082,37217,92079
92080,92083,37218,92080
92081,92084,37218,92081
92082,92085,37219,92082
92083,92086,37219,92083
92084,92087,37219,92084
92085,92088,37220,92085
92086,92089,37221,92086
92087,92090,37221,92087
92088,92091,37221,92088
92089,92092,37221,92089
92090,92093,37221,92090
92091,92094,37221,92091
92092,92095,37221,92092
92093,92096,37221,92093
92094,92097,37221,92094
92095,92098,37221,92095
92096,92099,37221,92096
92097,92100,37222,92097
92098,92101,37222,92098
92099,92102,37222,92099
92100,92103,37222,92100
92101,92104,37222,92101
92102,92105,37223,92102
92103,92106,37223,92103
92104,92107,37224,92104
92105,92108,37224,92105
92106,92109,37224,92106
92107,92110,37225,92107
92108,92111,37225,92108
92109,92112,37225,92109
92110,92113,37225,92110
92111,92114,37225,92111
92112,92115,37226,92112
92113,92116,37226,92113
92114,92117,37226,92114
92115,92118,37227,92115
92116,92119,37228,92116
92117,92120,37228,92117
92118,92121,37229,92118
92119,92122,37229,92119
92120,92123,37230,92120
92121,92124,37230,92121
92122,92125,37230,92122
92123,92126,37230,92123
92124,92127,37231,92124
92125,92128,37232,92125
92126,92129,37232,92126
92127,92130,37233,92127
92128,92131,37233,92128
92129,92132,37233,92129
92130,92133,37233,92130
92131,92134,37234,92131
92132,92135,37234,92132
92133,92136,37235,92133
92134,92137,37235,92134
92135,92138,37235,92135
92136,92139,37235,92136
92137,92140,37236,92137
92138,92141,37236,92138
92139,92142,37237,92139
92140,92143,37238,92140
92141,92144,37238,92141
92142,92145,37238,92142
92143,92146,37239,92143
92144,92147,37239,92144
92145,92148,37240,92145
92146,92149,37240,92146
92147,92150,37240,92147
92148,92151,37241,92148
92149,92152,37242,92149
92150,92153,37242,92150
92151,92154,37242,92151
92152,92155,37243,92152
92153,92156,37243,92153
92154,92157,37244,92154
92155,92158,37244,92155
92156,92159,37244,92156
92157,92160,37245,92157
92158,92161,37245,92158
92159,92162,37245,92159
92160,92163,37246,92160
92161,92164,37246,92161
92162,92165,37247,92162
92163,92166,37248,92163
92164,92167,37249,92164
92165,92168,37249,92165
92166,92169,37250,92166
92167,92170,37250,92167
92168,92171,37251,92168
92169,92172,37251,92169
92170,92173,37251,92170
92171,92174,37252,92171
92172,92175,37252,92172
92173,92176,37253,92173
92174,92177,37253,92174
92175,92178,37254,92175
92176,92179,37254,92176
92177,92180,37254,92177
92178,92181,37255,92178
92179,92182,37256,92179
92180,92183,37256,92180
92181,92184,37257,92181
92182,92185,37257,92182
92183,92186,37257,92183
92184,92187,37258,92184
92185,92188,37258,92185
92186,92189,37258,92186
92187,92190,37258,92187
92188,92191,37258,92188
92189,92192,37258,92189
92190,92193,37259,92190
92191,92194,37259,92191
92192,92195,37260,92192
92193,92196,37260,92193
92194,92197,37260,92194
92195,92198,37260,92195
92196,92199,37260,92196
92197,92200,37261,92197
92198,92201,37261,92198
92199,92202,37261,92199
92200,92203,37262,92200
92201,92204,37262,92201
92202,92205,37262,92202
92203,92206,37262,92203
92204,92207,37263,92204
92205,92208,37263,92205
92206,92209,37264,92206
92207,92210,37264,92207
92208,92211,37264,92208
92209,92212,37264,92209
92210,92213,37264,92210
92211,92214,37264,92211
92212,92215,37265,92212
92213,92216,37265,92213
92214,92217,37265,92214
92215,92218,37266,92215
92216,92219,37267,92216
92217,92220,37267,92217
92218,92221,37267,92218
92219,92222,37268,92219
92220,92223,37268,92220
92221,92224,37268,92221
92222,92225,37268,92222
92223,92226,37269,92223
92224,92227,37270,92224
92225,92228,37270,92225
92226,92229,37271,92226
92227,92230,37271,92227
92228,92231,37272,92228
92229,92232,37272,92229
92230,92233,37273,92230
92231,92234,37273,92231
92232,92235,37273,92232
92233,92236,37273,92233
92234,92237,37274,92234
92235,92238,37274,92235
92236,92239,37274,92236
92237,92240,37275,92237
92238,92241,37275,92238
92239,92242,37275,92239
92240,92243,37275,92240
92241,92244,37276,92241
92242,92245,37276,92242
92243,92246,37277,92243
92244,92247,37277,92244
92245,92248,37278,92245
92246,92249,37278,92246
92247,92250,37278,92247
92248,92251,37279,92248
92249,92252,37279,92249
92250,92253,37280,92250
92251,92254,37280,92251
92252,92255,37281,92252
92253,92256,37281,92253
92254,92257,37282,92254
92255,92258,37282,92255
92256,92259,37283,92256
92257,92260,37283,92257
92258,92261,37284,92258
92259,92262,37284,92259
92260,92263,37284,92260
92261,92264,37284,92261
92262,92265,37284,92262
92263,92266,37285,92263
92264,92267,37285,92264
92265,92268,37286,92265
92266,92269,37286,92266
92267,92270,37287,92267
92268,92271,37288,92268
92269,92272,37288,92269
92270,92273,37288,92270
92271,92274,37289,92271
92272,92275,37289,92272
92273,92276,37289,92273
92274,92277,37290,92274
92275,92278,37290,92275
92276,92279,37290,92276
92277,92280,37291,92277
92278,92281,37291,92278
92279,92282,37291,92279
92280,92283,37291,92280
92281,92284,37291,92281
92282,92285,37291,92282
92283,92286,37291,92283
92284,92287,37292,92284
92285,92288,37292,92285
92286,92289,37292,92286
92287,92290,37292,92287
92288,92291,37293,92288
92289,92292,37294,92289
92290,92293,37295,92290
92291,92294,37295,92291
92292,92295,37295,92292
92293,92296,37296,92293
92294,92297,37296,92294
92295,92298,37296,92295
92296,92299,37297,92296
92297,92300,37297,92297
92298,92301,37298,92298
92299,92302,37298,92299
92300,92303,37299,92300
92301,92304,37299,92301
92302,92305,37299,92302
92303,92306,37299,92303
92304,92307,37299,92304
92305,92308,37300,92305
92306,92309,37300,92306
92307,92310,37300,92307
92308,92311,37301,92308
92309,92312,37301,92309
92310,92313,37302,92310
92311,92314,37302,92311
92312,92315,37303,92312
92313,92316,37303,92313
92314,92317,37303,92314
92315,92318,37303,92315
92316,92319,37303,92316
92317,92320,37304,92317
92318,92321,37304,92318
92319,92322,37305,92319
92320,92323,37305,92320
92321,92324,37305,92321
92322,92325,37305,92322
92323,92326,37305,92323
92324,92327,37305,92324
92325,92328,37306,92325
92326,92329,37306,92326
92327,92330,37306,92327
92328,92331,37306,92328
92329,92332,37307,92329
92330,92333,37307,92330
92331,92334,37307,92331
92332,92335,37307,92332
92333,92336,37308,92333
92334,92337,37308,92334
92335,92338,37308,92335
92336,92339,37308,92336
92337,92340,37309,92337
92338,92341,37310,92338
92339,92342,37310,92339
92340,92343,37311,92340
92341,92344,37311,92341
92342,92345,37312,92342
92343,92346,37312,92343
92344,92347,37312,92344
92345,92348,37312,92345
92346,92349,37313,92346
92347,92350,37313,92347
92348,92351,37313,92348
92349,92352,37313,92349
92350,92353,37313,92350
92351,92354,37313,92351
92352,92355,37313,92352
92353,92356,37313,92353
92354,92357,37313,92354
92355,92358,37314,92355
92356,92359,37315,92356
92357,92360,37315,92357
92358,92361,37316,92358
92359,92362,37316,92359
92360,92363,37316,92360
92361,92364,37316,92361
92362,92365,37316,92362
92363,92366,37317,92363
92364,92367,37317,92364
92365,92368,37317,92365
92366,92369,37317,92366
92367,92370,37317,92367
92368,92371,37317,92368
92369,92372,37317,92369
92370,92373,37318,92370
92371,92374,37318,92371
92372,92375,37319,92372
92373,92376,37320,92373
92374,92377,37320,92374
92375,92378,37320,92375
92376,92379,37320,92376
92377,92380,37321,92377
92378,92381,37321,92378
92379,92382,37321,92379
92380,92383,37322,92380
92381,92384,37322,92381
92382,92385,37323,92382
92383,92386,37323,92383
92384,92387,37324,92384
92385,92388,37325,92385
92386,92389,37326,92386
92387,92390,37326,92387
92388,92391,37327,92388
92389,92392,37327,92389
92390,92393,37327,92390
92391,92394,37327,92391
92392,92395,37328,92392
92393,92396,37328,92393
92394,92397,37329,92394
92395,92398,37329,92395
92396,92399,37329,92396
92397,92400,37330,92397
92398,92401,37330,92398
92399,92402,37331,92399
92400,92403,37331,92400
92401,92404,37332,92401
92402,92405,37332,92402
92403,92406,37332,92403
92404,92407,37333,92404
92405,92408,37334,92405
92406,92409,37335,92406
92407,92410,37335,92407
92408,92411,37336,92408
92409,92412,37336,92409
92410,92413,37337,92410
92411,92414,37337,92411
92412,92415,37337,92412
92413,92416,37338,92413
92414,92417,37339,92414
92415,92418,37339,92415
92416,92419,37340,92416
92417,92420,37341,92417
92418,92421,37341,92418
92419,92422,37341,92419
92420,92423,37341,92420
92421,92424,37341,92421
92422,92425,37341,92422
92423,92426,37341,92423
92424,92427,37342,92424
92425,92428,37342,92425
92426,92429,37342,92426
92427,92430,37342,92427
92428,92431,37343,92428
92429,92432,37343,92429
92430,92433,37343,92430
92431,92434,37344,92431
92432,92435,37344,92432
92433,92436,37344,92433
92434,92437,37344,92434
92435,92438,37344,92435
92436,92439,37344,92436
92437,92440,37344,92437
92438,92441,37344,92438
92439,92442,37344,92439
92440,92443,37345,92440
92441,92444,37345,92441
92442,92445,37346,92442
92443,92446,37346,92443
92444,92447,37346,92444
92445,92448,37347,92445
92446,92449,37347,92446
92447,92450,37348,92447
92448,92451,37349,92448
92449,92452,37350,92449
92450,92453,37350,92450
92451,92454,37350,92451
92452,92455,37351,92452
92453,92456,37352,92453
92454,92457,37352,92454
92455,92458,37352,92455
92456,92459,37352,92456
92457,92460,37353,92457
92458,92461,37353,92458
92459,92462,37354,92459
92460,92463,37355,92460
92461,92464,37355,92461
92462,92465,37356,92462
92463,92466,37357,92463
92464,92467,37358,92464
92465,92468,37358,92465
92466,92469,37358,92466
92467,92470,37358,92467
92468,92471,37359,92468
92469,92472,37360,92469
92470,92473,37360,92470
92471,92474,37361,92471
92472,92475,37361,92472
92473,92476,37361,92473
92474,92477,37362,92474
92475,92478,37362,92475
92476,92479,37362,92476
92477,92480,37362,92477
92478,92481,37363,92478
92479,92482,37364,92479
92480,92483,37364,92480
92481,92484,37365,92481
92482,92485,37365,92482
92483,92486,37365,92483
92484,92487,37366,92484
