intervention_id,victim_id,accident_id,respondent_id
101591,101594,40911,101591
101592,101595,40911,101592
101593,101596,40912,101593
101594,101597,40912,101594
101595,101598,40913,101595
101596,101599,40913,101596
101597,101600,40914,101597
101598,101601,40915,101598
101599,101602,40915,101599
101600,101603,40915,101600
101601,101604,40915,101601
101602,101605,40915,101602
101603,101606,40915,101603
101604,101607,40916,101604
101605,101608,40916,101605
101606,101609,40916,101606
101607,101610,40916,101607
101608,101611,40916,101608
101609,101612,40916,101609
101610,101613,40916,101610
101611,101614,40917,101611
101612,101615,40917,101612
101613,101616,40917,101613
101614,101617,40917,101614
101615,101618,40917,101615
101616,101619,40917,101616
101617,101620,40917,101617
101618,101621,40918,101618
101619,101622,40919,101619
101620,101623,40919,101620
101621,101624,40920,101621
101622,101625,40920,101622
101623,101626,40920,101623
101624,101627,40920,101624
101625,101628,40920,101625
101626,101629,40921,101626
101627,101630,40921,101627
101628,101631,40922,101628
101629,101632,40922,101629
101630,101633,40923,101630
101631,101634,40923,101631
101632,101635,40924,101632
101633,101636,40924,101633
101634,101637,40925,101634
101635,101638,40926,101635
101636,101639,40927,101636
101637,101640,40928,101637
101638,101641,40928,101638
101639,101642,40928,101639
101640,101643,40929,101640
101641,101644,40929,101641
101642,101645,40930,101642
101643,101646,40931,101643
101644,101647,40931,101644
101645,101648,40932,101645
101646,101649,40932,101646
101647,101650,40932,101647
101648,101651,40933,101648
101649,101652,40934,101649
101650,101653,40935,101650
101651,101654,40935,101651
101652,101655,40936,101652
101653,101656,40936,101653
101654,101657,40936,101654
101655,101658,40937,101655
101656,101659,40937,101656
101657,101660,40937,101657
101658,101661,40937,101658
101659,101662,40937,101659
101660,101663,40937,101660
101661,101664,40937,101661
101662,101665,40938,101662
101663,101666,40938,101663
101664,101667,40939,101664
101665,101668,40939,101665
101666,101669,40939,101666
101667,101670,40940,101667
101668,101671,40941,101668
101669,101672,40941,101669
101670,101673,40942,101670
101671,101674,40942,101671
101672,101675,40942,101672
101673,101676,40942,101673
101674,101677,40942,101674
101675,101678,40943,101675
101676,101679,40943,101676
101677,101680,40944,101677
101678,101681,40944,101678
101679,101682,40945,101679
101680,101683,40945,101680
101681,101684,40946,101681
101682,101685,40946,101682
101683,101686,40947,101683
101684,101687,40947,101684
101685,101688,40947,101685
101686,101689,40948,101686
101687,101690,40948,101687
101688,101691,40948,101688
101689,101692,40948,101689
101690,101693,40949,101690
101691,101694,40949,101691
101692,101695,40950,101692
101693,101696,40951,101693
101694,101697,40951,101694
101695,101698,40952,101695
101696,101699,40952,101696
101697,101700,40953,101697
101698,101701,40953,101698
101699,101702,40953,101699
101700,101703,40953,101700
101701,101704,40954,101701
101702,101705,40954,101702
101703,101706,40955,101703
101704,101707,40955,101704
101705,101708,40956,101705
101706,101709,40956,101706
101707,101710,40956,101707
101708,101711,40956,101708
101709,101712,40956,101709
101710,101713,40957,101710
101711,101714,40957,101711
101712,101715,40957,101712
101713,101716,40958,101713
101714,101717,40958,101714
101715,101718,40959,101715
101716,101719,40959,101716
101717,101720,40959,101717
101718,101721,40959,101718
101719,101722,40959,101719
101720,101723,40960,101720
101721,101724,40960,101721
101722,101725,40960,101722
101723,101726,40960,101723
101724,101727,40960,101724
101725,101728,40960,101725
101726,101729,40961,101726
101727,101730,40962,101727
101728,101731,40962,101728
101729,101732,40962,101729
101730,101733,40962,101730
101731,101734,40962,101731
101732,101735,40962,101732
101733,101736,40962,101733
101734,101737,40962,101734
101735,101738,40962,101735
101736,101739,40962,101736
101737,101740,40963,101737
101738,101741,40963,101738
101739,101742,40964,101739
101740,101743,40964,101740
101741,101744,40964,101741
101742,101745,40964,101742
101743,101746,40964,101743
101744,101747,40965,101744
101745,101748,40965,101745
101746,101749,40966,101746
101747,101750,40966,101747
101748,101751,40966,101748
101749,101752,40966,101749
101750,101753,40966,101750
101751,101754,40967,101751
101752,101755,40967,101752
101753,101756,40968,101753
101754,101757,40968,101754
101755,101758,40969,101755
101756,101759,40969,101756
101757,101760,40969,101757
101758,101761,40969,101758
101759,101762,40970,101759
101760,101763,40970,101760
101761,101764,40971,101761
101762,101765,40972,101762
101763,101766,40972,101763
101764,101767,40972,101764
101765,101768,40973,101765
101766,101769,40974,101766
101767,101770,40974,101767
101768,101771,40975,101768
101769,101772,40975,101769
101770,101773,40975,101770
101771,101774,40976,101771
101772,101775,40976,101772
101773,101776,40976,101773
101774,101777,40976,101774
101775,101778,40976,101775
101776,101779,40977,101776
101777,101780,40978,101777
101778,101781,40979,101778
101779,101782,40979,101779
101780,101783,40980,101780
101781,101784,40981,101781
101782,101785,40981,101782
101783,101786,40981,101783
101784,101787,40982,101784
101785,101788,40982,101785
101786,101789,40983,101786
101787,101790,40983,101787
101788,101791,40984,101788
101789,101792,40984,101789
101790,101793,40984,101790
101791,101794,40984,101791
101792,101795,40984,101792
101793,101796,40985,101793
101794,101797,40986,101794
101795,101798,40987,101795
101796,101799,40988,101796
101797,101800,40988,101797
101798,101801,40988,101798
101799,101802,40989,101799
101800,101803,40989,101800
101801,101804,40990,101801
101802,101805,40990,101802
101803,101806,40990,101803
101804,101807,40991,101804
101805,101808,40991,101805
101806,101809,40991,101806
101807,101810,40992,101807
101808,101811,40992,101808
101809,101812,40993,101809
101810,101813,40993,101810
101811,101814,40993,101811
101812,101815,40993,101812
101813,101816,40994,101813
101814,101817,40994,101814
101815,101818,40994,101815
101816,101819,40995,101816
101817,101820,40995,101817
101818,101821,40995,101818
101819,101822,40996,101819
101820,101823,40996,101820
101821,101824,40996,101821
101822,101825,40997,101822
101823,101826,40998,101823
101824,101827,40999,101824
101825,101828,40999,101825
101826,101829,41000,101826
101827,101830,41001,101827
101828,101831,41001,101828
101829,101832,41002,101829
101830,101833,41002,101830
101831,101834,41003,101831
101832,101835,41004,101832
101833,101836,41004,101833
101834,101837,41004,101834
101835,101838,41005,101835
101836,101839,41005,101836
101837,101840,41005,101837
101838,101841,41006,101838
101839,101842,41006,101839
101840,101843,41006,101840
101841,101844,41006,101841
101842,101845,41006,101842
101843,101846,41007,101843
101844,101847,41007,101844
101845,101848,41007,101845
101846,101849,41007,101846
101847,101850,41008,101847
101848,101851,41008,101848
101849,101852,41009,101849
101850,101853,41010,101850
101851,101854,41011,101851
101852,101855,41011,101852
101853,101856,41012,101853
101854,101857,41012,101854
101855,101858,41013,101855
101856,101859,41013,101856
101857,101860,41013,101857
101858,101861,41013,101858
101859,101862,41014,101859
101860,101863,41014,101860
101861,101864,41014,101861
101862,101865,41014,101862
101863,101866,41015,101863
101864,101867,41015,101864
101865,101868,41015,101865
101866,101869,41016,101866
101867,101870,41016,101867
101868,101871,41016,101868
101869,101872,41016,101869
101870,101873,41017,101870
101871,101874,41018,101871
101872,101875,41018,101872
101873,101876,41019,101873
101874,101877,41019,101874
101875,101878,41020,101875
101876,101879,41020,101876
101877,101880,41021,101877
101878,101881,41021,101878
101879,101882,41021,101879
101880,101883,41022,101880
101881,101884,41022,101881
101882,101885,41022,101882
101883,101886,41022,101883
101884,101887,41022,101884
101885,101888,41022,101885
101886,101889,41023,101886
101887,101890,41023,101887
101888,101891,41024,101888
101889,101892,41025,101889
101890,101893,41026,101890
101891,101894,41026,101891
101892,101895,41027,101892
101893,101896,41027,101893
101894,101897,41028,101894
101895,101898,41028,101895
101896,101899,41028,101896
101897,101900,41029,101897
101898,101901,41029,101898
101899,101902,41029,101899
101900,101903,41030,101900
101901,101904,41031,101901
101902,101905,41031,101902
101903,101906,41032,101903
101904,101907,41032,101904
101905,101908,41032,101905
101906,101909,41032,101906
101907,101910,41033,101907
101908,101911,41033,101908
101909,101912,41034,101909
101910,101913,41034,101910
101911,101914,41034,101911
101912,101915,41034,101912
101913,101916,41035,101913
101914,101917,41036,101914
101915,101918,41036,101915
101916,101919,41036,101916
101917,101920,41037,101917
101918,101921,41037,101918
101919,101922,41037,101919
101920,101923,41037,101920
101921,101924,41037,101921
101922,101925,41038,101922
101923,101926,41039,101923
101924,101927,41039,101924
101925,101928,41040,101925
101926,101929,41041,101926
101927,101930,41042,101927
101928,101931,41042,101928
101929,101932,41043,101929
101930,101933,41043,101930
101931,101934,41043,101931
101932,101935,41044,101932
101933,101936,41044,101933
101934,101937,41044,101934
101935,101938,41045,101935
101936,101939,41046,101936
101937,101940,41046,101937
101938,101941,41046,101938
101939,101942,41046,101939
101940,101943,41046,101940
101941,101944,41046,101941
101942,101945,41046,101942
101943,101946,41046,101943
101944,101947,41047,101944
101945,101948,41047,101945
101946,101949,41048,101946
101947,101950,41048,101947
101948,101951,41048,101948
101949,101952,41049,101949
101950,101953,41050,101950
101951,101954,41051,101951
101952,101955,41052,101952
101953,101956,41053,101953
101954,101957,41054,101954
101955,101958,41054,101955
101956,101959,41054,101956
101957,101960,41055,101957
101958,101961,41055,101958
101959,101962,41056,101959
101960,101963,41056,101960
101961,101964,41056,101961
101962,101965,41057,101962
101963,101966,41058,101963
101964,101967,41059,101964
101965,101968,41060,101965
101966,101969,41060,101966
101967,101970,41060,101967
101968,101971,41060,101968
101969,101972,41061,101969
101970,101973,41061,101970
101971,101974,41062,101971
101972,101975,41063,101972
101973,101976,41064,101973
101974,101977,41064,101974
101975,101978,41064,101975
101976,101979,41064,101976
101977,101980,41064,101977
101978,101981,41064,101978
101979,101982,41065,101979
101980,101983,41065,101980
101981,101984,41066,101981
101982,101985,41067,101982
101983,101986,41067,101983
101984,101987,41067,101984
101985,101988,41067,101985
101986,101989,41068,101986
101987,101990,41068,101987
101988,101991,41068,101988
101989,101992,41069,101989
101990,101993,41069,101990
