intervention_id,victim_id,accident_id,respondent_id
111601,111604,44931,111601
111602,111605,44932,111602
111603,111606,44932,111603
111604,111607,44933,111604
111605,111608,44933,111605
111606,111609,44934,111606
111607,111610,44934,111607
111608,111611,44934,111608
111609,111612,44934,111609
111610,111613,44935,111610
111611,111614,44935,111611
111612,111615,44935,111612
111613,111616,44936,111613
111614,111617,44936,111614
111615,111618,44936,111615
111616,111619,44936,111616
111617,111620,44936,111617
111618,111621,44936,111618
111619,111622,44937,111619
111620,111623,44938,111620
111621,111624,44938,111621
111622,111625,44938,111622
111623,111626,44939,111623
111624,111627,44940,111624
111625,111628,44941,111625
111626,111629,44941,111626
111627,111630,44941,111627
111628,111631,44942,111628
111629,111632,44942,111629
111630,111633,44942,111630
111631,111634,44942,111631
111632,111635,44942,111632
111633,111636,44943,111633
111634,111637,44943,111634
111635,111638,44944,111635
111636,111639,44945,111636
111637,111640,44945,111637
111638,111641,44946,111638
111639,111642,44946,111639
111640,111643,44947,111640
111641,111644,44947,111641
111642,111645,44947,111642
111643,111646,44947,111643
111644,111647,44947,111644
111645,111648,44948,111645
111646,111649,44949,111646
111647,111650,44950,111647
111648,111651,44951,111648
111649,111652,44952,111649
111650,111653,44952,111650
111651,111654,44952,111651
111652,111655,44953,111652
111653,111656,44953,111653
111654,111657,44953,111654
111655,111658,44953,111655
111656,111659,44954,111656
111657,111660,44954,111657
111658,111661,44954,111658
111659,111662,44954,111659
111660,111663,44955,111660
111661,111664,44955,111661
111662,111665,44955,111662
111663,111666,44955,111663
111664,111667,44955,111664
111665,111668,44955,111665
111666,111669,44956,111666
111667,111670,44956,111667
111668,111671,44957,111668
111669,111672,44957,111669
111670,111673,44958,111670
111671,111674,44958,111671
111672,111675,44958,111672
111673,111676,44958,111673
111674,111677,44958,111674
111675,111678,44958,111675
111676,111679,44958,111676
111677,111680,44959,111677
111678,111681,44960,111678
111679,111682,44961,111679
111680,111683,44961,111680
111681,111684,44961,111681
111682,111685,44961,111682
111683,111686,44962,111683
111684,111687,44962,111684
111685,111688,44962,111685
111686,111689,44962,111686
111687,111690,44962,111687
111688,111691,44962,111688
111689,111692,44962,111689
111690,111693,44963,111690
111691,111694,44964,111691
111692,111695,44965,111692
111693,111696,44965,111693
111694,111697,44965,111694
111695,111698,44966,111695
111696,111699,44966,111696
111697,111700,44967,111697
111698,111701,44967,111698
111699,111702,44968,111699
111700,111703,44968,111700
111701,111704,44969,111701
111702,111705,44969,111702
111703,111706,44969,111703
111704,111707,44969,111704
111705,111708,44969,111705
111706,111709,44969,111706
111707,111710,44970,111707
111708,111711,44970,111708
111709,111712,44971,111709
111710,111713,44971,111710
111711,111714,44971,111711
111712,111715,44971,111712
111713,111716,44971,111713
111714,111717,44972,111714
111715,111718,44972,111715
111716,111719,44973,111716
111717,111720,44973,111717
111718,111721,44973,111718
111719,111722,44974,111719
111720,111723,44974,111720
111721,111724,44974,111721
111722,111725,44974,111722
111723,111726,44975,111723
111724,111727,44975,111724
111725,111728,44976,111725
111726,111729,44977,111726
111727,111730,44977,111727
111728,111731,44978,111728
111729,111732,44979,111729
111730,111733,44979,111730
111731,111734,44979,111731
111732,111735,44980,111732
111733,111736,44980,111733
111734,111737,44981,111734
111735,111738,44981,111735
111736,111739,44981,111736
111737,111740,44981,111737
111738,111741,44981,111738
111739,111742,44981,111739
111740,111743,44981,111740
111741,111744,44981,111741
111742,111745,44981,111742
111743,111746,44981,111743
111744,111747,44981,111744
