intervention_id,victim_id,accident_id,respondent_id
141633,141636,57380,141633
141634,141637,57380,141634
141635,141638,57381,141635
141636,141639,57381,141636
141637,141640,57382,141637
141638,141641,57383,141638
141639,141642,57384,141639
141640,141643,57384,141640
141641,141644,57385,141641
141642,141645,57386,141642
141643,141646,57386,141643
141644,141647,57386,141644
141645,141648,57386,141645
141646,141649,57386,141646
141647,141650,57386,141647
141648,141651,57387,141648
141649,141652,57387,141649
141650,141653,57387,141650
141651,141654,57388,141651
141652,141655,57388,141652
141653,141656,57388,141653
141654,141657,57388,141654
141655,141658,57389,141655
141656,141659,57389,141656
141657,141660,57389,141657
141658,141661,57389,141658
141659,141662,57390,141659
141660,141663,57391,141660
141661,141664,57391,141661
141662,141665,57392,141662
141663,141666,57393,141663
141664,141667,57393,141664
141665,141668,57394,141665
141666,141669,57394,141666
141667,141670,57394,141667
141668,141671,57395,141668
141669,141672,57396,141669
141670,141673,57396,141670
141671,141674,57396,141671
141672,141675,57397,141672
141673,141676,57398,141673
141674,141677,57399,141674
141675,141678,57399,141675
141676,141679,57399,141676
141677,141680,57399,141677
141678,141681,57400,141678
141679,141682,57400,141679
141680,141683,57401,141680
141681,141684,57401,141681
141682,141685,57402,141682
141683,141686,57402,141683
141684,141687,57403,141684
141685,141688,57404,141685
141686,141689,57404,141686
141687,141690,57405,141687
141688,141691,57405,141688
141689,141692,57406,141689
141690,141693,57406,141690
141691,141694,57406,141691
141692,141695,57407,141692
141693,141696,57408,141693
141694,141697,57408,141694
141695,141698,57409,141695
141696,141699,57410,141696
141697,141700,57410,141697
141698,141701,57410,141698
141699,141702,57410,141699
141700,141703,57410,141700
141701,141704,57410,141701
141702,141705,57410,141702
141703,141706,57410,141703
141704,141707,57410,141704
141705,141708,57410,141705
141706,141709,57410,141706
141707,141710,57410,141707
141708,141711,57410,141708
141709,141712,57410,141709
141710,141713,57410,141710
141711,141714,57410,141711
141712,141715,57410,141712
141713,141716,57410,141713
141714,141717,57410,141714
141715,141718,57410,141715
141716,141719,57410,141716
141717,141720,57410,141717
141718,141721,57410,141718
141719,141722,57410,141719
141720,141723,57410,141720
141721,141724,57410,141721
141722,141725,57410,141722
141723,141726,57410,141723
141724,141727,57410,141724
141725,141728,57411,141725
141726,141729,57411,141726
141727,141730,57411,141727
141728,141731,57411,141728
141729,141732,57411,141729
141730,141733,57412,141730
141731,141734,57412,141731
141732,141735,57412,141732
141733,141736,57413,141733
