intervention_id,victim_id,accident_id,respondent_id
161667,161670,65672,161667
161668,161671,65672,161668
161669,161672,65672,161669
161670,161673,65672,161670
161671,161674,65673,161671
161672,161675,65673,161672
161673,161676,65673,161673
161674,161677,65674,161674
161675,161678,65674,161675
161676,161679,65675,161676
161677,161680,65675,161677
161678,161681,65675,161678
161679,161682,65675,161679
161680,161683,65675,161680
161681,161684,65676,161681
161682,161685,65676,161682
161683,161686,65677,161683
161684,161687,65678,161684
161685,161688,65678,161685
161686,161689,65679,161686
161687,161690,65680,161687
161688,161691,65680,161688
161689,161692,65680,161689
161690,161693,65680,161690
161691,161694,65681,161691
161692,161695,65681,161692
161693,161696,65681,161693
161694,161697,65681,161694
161695,161698,65682,161695
161696,161699,65683,161696
161697,161700,65683,161697
161698,161701,65684,161698
161699,161702,65684,161699
161700,161703,65684,161700
161701,161704,65684,161701
161702,161705,65685,161702
161703,161706,65685,161703
161704,161707,65685,161704
161705,161708,65686,161705
161706,161709,65687,161706
161707,161710,65688,161707
161708,161711,65689,161708
161709,161712,65689,161709
161710,161713,65689,161710
161711,161714,65689,161711
161712,161715,65689,161712
161713,161716,65689,161713
161714,161717,65690,161714
161715,161718,65691,161715
161716,161719,65691,161716
161717,161720,65691,161717
161718,161721,65691,161718
161719,161722,65692,161719
161720,161723,65692,161720
161721,161724,65693,161721
161722,161725,65693,161722
161723,161726,65693,161723
161724,161727,65694,161724
161725,161728,65694,161725
161726,161729,65695,161726
161727,161730,65695,161727
161728,161731,65695,161728
161729,161732,65695,161729
161730,161733,65696,161730
161731,161734,65696,161731
161732,161735,65696,161732
161733,161736,65697,161733
161734,161737,65698,161734
161735,161738,65698,161735
161736,161739,65699,161736
161737,161740,65699,161737
161738,161741,65700,161738
161739,161742,65701,161739
161740,161743,65701,161740
161741,161744,65702,161741
161742,161745,65702,161742
161743,161746,65702,161743
161744,161747,65702,161744
161745,161748,65703,161745
161746,161749,65703,161746
161747,161750,65703,161747
161748,161751,65703,161748
161749,161752,65703,161749
161750,161753,65704,161750
161751,161754,65704,161751
161752,161755,65704,161752
161753,161756,65704,161753
161754,161757,65704,161754
161755,161758,65704,161755
161756,161759,65705,161756
161757,161760,65705,161757
161758,161761,65705,161758
161759,161762,65705,161759
161760,161763,65706,161760
161761,161764,65706,161761
161762,161765,65707,161762
161763,161766,65707,161763
161764,161767,65707,161764
161765,161768,65707,161765
161766,161769,65708,161766
161767,161770,65708,161767
161768,161771,65709,161768
161769,161772,65709,161769
161770,161773,65709,161770
161771,161774,65709,161771
161772,161775,65710,161772
161773,161776,65710,161773
161774,161777,65710,161774
161775,161778,65711,161775
161776,161779,65712,161776
161777,161780,65713,161777
161778,161781,65713,161778
161779,161782,65713,161779
161780,161783,65713,161780
161781,161784,65714,161781
161782,161785,65714,161782
161783,161786,65715,161783
161784,161787,65715,161784
161785,161788,65716,161785
161786,161789,65716,161786
161787,161790,65716,161787
161788,161791,65716,161788
161789,161792,65716,161789
161790,161793,65716,161790
161791,161794,65716,161791
161792,161795,65716,161792
161793,161796,65717,161793
161794,161797,65717,161794
161795,161798,65718,161795
161796,161799,65718,161796
161797,161800,65719,161797
161798,161801,65719,161798
161799,161802,65720,161799
161800,161803,65720,161800
161801,161804,65721,161801
161802,161805,65722,161802
161803,161806,65722,161803
161804,161807,65723,161804
161805,161808,65723,161805
161806,161809,65724,161806
161807,161810,65725,161807
161808,161811,65726,161808
161809,161812,65726,161809
161810,161813,65727,161810
161811,161814,65728,161811
161812,161815,65728,161812
161813,161816,65729,161813
161814,161817,65729,161814
161815,161818,65729,161815
161816,161819,65729,161816
161817,161820,65730,161817
161818,161821,65730,161818
161819,161822,65731,161819
161820,161823,65731,161820
161821,161824,65732,161821
161822,161825,65732,161822
161823,161826,65732,161823
161824,161827,65732,161824
161825,161828,65732,161825
161826,161829,65732,161826
161827,161830,65732,161827
161828,161831,65733,161828
161829,161832,65733,161829
161830,161833,65733,161830
161831,161834,65733,161831
161832,161835,65734,161832
161833,161836,65735,161833
161834,161837,65736,161834
161835,161838,65736,161835
161836,161839,65737,161836
161837,161840,65737,161837
161838,161841,65738,161838
161839,161842,65738,161839
161840,161843,65739,161840
161841,161844,65739,161841
161842,161845,65739,161842
161843,161846,65740,161843
161844,161847,65741,161844
161845,161848,65741,161845
161846,161849,65742,161846
161847,161850,65742,161847
161848,161851,65743,161848
161849,161852,65743,161849
161850,161853,65743,161850
161851,161854,65744,161851
161852,161855,65744,161852
161853,161856,65744,161853
161854,161857,65744,161854
161855,161858,65744,161855
161856,161859,65745,161856
161857,161860,65745,161857
161858,161861,65745,161858
161859,161862,65746,161859
161860,161863,65746,161860
161861,161864,65746,161861
161862,161865,65747,161862
161863,161866,65747,161863
161864,161867,65747,161864
161865,161868,65747,161865
161866,161869,65747,161866
161867,161870,65748,161867
161868,161871,65749,161868
161869,161872,65749,161869
161870,161873,65750,161870
161871,161874,65751,161871
161872,161875,65751,161872
161873,161876,65751,161873
161874,161877,65751,161874
161875,161878,65751,161875
161876,161879,65751,161876
161877,161880,65752,161877
161878,161881,65753,161878
161879,161882,65753,161879
161880,161883,65754,161880
161881,161884,65755,161881
161882,161885,65755,161882
161883,161886,65756,161883
161884,161887,65756,161884
161885,161888,65756,161885
161886,161889,65756,161886
161887,161890,65756,161887
161888,161891,65757,161888
161889,161892,65757,161889
161890,161893,65757,161890
161891,161894,65758,161891
161892,161895,65758,161892
161893,161896,65759,161893
161894,161897,65759,161894
161895,161898,65760,161895
161896,161899,65760,161896
161897,161900,65760,161897
161898,161901,65760,161898
161899,161902,65760,161899
161900,161903,65760,161900
161901,161904,65760,161901
161902,161905,65760,161902
161903,161906,65761,161903
161904,161907,65761,161904
161905,161908,65761,161905
161906,161909,65761,161906
161907,161910,65762,161907
161908,161911,65762,161908
161909,161912,65763,161909
161910,161913,65763,161910
161911,161914,65764,161911
161912,161915,65765,161912
161913,161916,65765,161913
161914,161917,65766,161914
161915,161918,65766,161915
161916,161919,65767,161916
161917,161920,65768,161917
161918,161921,65768,161918
161919,161922,65769,161919
161920,161923,65769,161920
161921,161924,65770,161921
161922,161925,65770,161922
161923,161926,65770,161923
161924,161927,65771,161924
161925,161928,65771,161925
161926,161929,65772,161926
161927,161930,65772,161927
161928,161931,65772,161928
161929,161932,65773,161929
161930,161933,65773,161930
161931,161934,65774,161931
161932,161935,65774,161932
161933,161936,65775,161933
161934,161937,65775,161934
161935,161938,65776,161935
161936,161939,65777,161936
161937,161940,65777,161937
161938,161941,65778,161938
161939,161942,65778,161939
161940,161943,65778,161940
161941,161944,65779,161941
161942,161945,65779,161942
161943,161946,65780,161943
161944,161947,65781,161944
161945,161948,65781,161945
161946,161949,65781,161946
161947,161950,65782,161947
161948,161951,65782,161948
161949,161952,65782,161949
161950,161953,65782,161950
161951,161954,65782,161951
161952,161955,65783,161952
161953,161956,65783,161953
161954,161957,65784,161954
161955,161958,65784,161955
161956,161959,65784,161956
161957,161960,65785,161957
161958,161961,65786,161958
161959,161962,65787,161959
161960,161963,65787,161960
161961,161964,65787,161961
161962,161965,65788,161962
161963,161966,65788,161963
161964,161967,65788,161964
161965,161968,65789,161965
161966,161969,65790,161966
161967,161970,65790,161967
161968,161971,65790,161968
161969,161972,65791,161969
161970,161973,65792,161970
161971,161974,65792,161971
161972,161975,65792,161972
161973,161976,65792,161973
161974,161977,65793,161974
161975,161978,65793,161975
161976,161979,65793,161976
161977,161980,65793,161977
161978,161981,65793,161978
161979,161982,65793,161979
161980,161983,65793,161980
161981,161984,65793,161981
161982,161985,65793,161982
161983,161986,65793,161983
161984,161987,65794,161984
161985,161988,65795,161985
161986,161989,65795,161986
161987,161990,65795,161987
161988,161991,65796,161988
161989,161992,65796,161989
161990,161993,65797,161990
161991,161994,65797,161991
161992,161995,65798,161992
161993,161996,65798,161993
161994,161997,65799,161994
161995,161998,65799,161995
161996,161999,65799,161996
161997,162000,65800,161997
161998,162001,65800,161998
161999,162002,65801,161999
162000,162003,65802,162000
162001,162004,65803,162001
162002,162005,65803,162002
162003,162006,65804,162003
162004,162007,65804,162004
162005,162008,65804,162005
162006,162009,65804,162006
162007,162010,65805,162007
162008,162011,65805,162008
162009,162012,65805,162009
162010,162013,65805,162010
162011,162014,65806,162011
162012,162015,65807,162012
162013,162016,65807,162013
162014,162017,65807,162014
162015,162018,65807,162015
162016,162019,65808,162016
162017,162020,65808,162017
162018,162021,65808,162018
162019,162022,65809,162019
162020,162023,65809,162020
162021,162024,65810,162021
