intervention_id,victim_id,accident_id,respondent_id
171692,171695,69574,171692
171693,171696,69575,171693
171694,171697,69576,171694
171695,171698,69576,171695
171696,171699,69576,171696
171697,171700,69576,171697
171698,171701,69576,171698
171699,171702,69577,171699
171700,171703,69577,171700
171701,171704,69577,171701
171702,171705,69578,171702
171703,171706,69578,171703
171704,171707,69579,171704
171705,171708,69579,171705
171706,171709,69579,171706
171707,171710,69580,171707
171708,171711,69580,171708
171709,171712,69580,171709
171710,171713,69580,171710
171711,171714,69581,171711
171712,171715,69581,171712
171713,171716,69582,171713
171714,171717,69582,171714
171715,171718,69582,171715
171716,171719,69583,171716
171717,171720,69583,171717
171718,171721,69584,171718
171719,171722,69584,171719
171720,171723,69584,171720
171721,171724,69584,171721
171722,171725,69584,171722
171723,171726,69585,171723
171724,171727,69585,171724
171725,171728,69585,171725
171726,171729,69586,171726
171727,171730,69586,171727
171728,171731,69586,171728
171729,171732,69587,171729
171730,171733,69587,171730
171731,171734,69587,171731
171732,171735,69587,171732
171733,171736,69588,171733
171734,171737,69588,171734
171735,171738,69589,171735
171736,171739,69589,171736
171737,171740,69589,171737
171738,171741,69590,171738
171739,171742,69590,171739
171740,171743,69591,171740
171741,171744,69592,171741
171742,171745,69593,171742
171743,171746,69593,171743
171744,171747,69593,171744
171745,171748,69593,171745
171746,171749,69594,171746
171747,171750,69594,171747
171748,171751,69595,171748
171749,171752,69595,171749
171750,171753,69595,171750
171751,171754,69595,171751
171752,171755,69596,171752
171753,171756,69596,171753
171754,171757,69597,171754
171755,171758,69597,171755
171756,171759,69598,171756
171757,171760,69599,171757
171758,171761,69599,171758
171759,171762,69600,171759
171760,171763,69600,171760
171761,171764,69600,171761
171762,171765,69600,171762
171763,171766,69601,171763
171764,171767,69601,171764
171765,171768,69601,171765
171766,171769,69601,171766
171767,171770,69602,171767
171768,171771,69602,171768
171769,171772,69603,171769
171770,171773,69604,171770
171771,171774,69604,171771
171772,171775,69605,171772
171773,171776,69605,171773
171774,171777,69606,171774
171775,171778,69606,171775
171776,171779,69606,171776
171777,171780,69606,171777
171778,171781,69606,171778
171779,171782,69607,171779
171780,171783,69607,171780
171781,171784,69607,171781
171782,171785,69607,171782
171783,171786,69608,171783
171784,171787,69608,171784
171785,171788,69608,171785
171786,171789,69608,171786
171787,171790,69608,171787
171788,171791,69609,171788
171789,171792,69609,171789
171790,171793,69609,171790
171791,171794,69610,171791
171792,171795,69611,171792
171793,171796,69611,171793
171794,171797,69612,171794
171795,171798,69612,171795
171796,171799,69612,171796
171797,171800,69612,171797
171798,171801,69612,171798
171799,171802,69613,171799
171800,171803,69613,171800
171801,171804,69614,171801
171802,171805,69614,171802
171803,171806,69615,171803
171804,171807,69616,171804
171805,171808,69616,171805
171806,171809,69616,171806
171807,171810,69617,171807
171808,171811,69617,171808
171809,171812,69618,171809
171810,171813,69619,171810
171811,171814,69619,171811
