1HGCM56364A0,Honda,Accord
1GNCS13W7W22,Chevrolet,"S-10 Blazer/TrailBlazer (2002 only; for 2003 on, see 403)"
1G8ZK5275VZ2,Saturn,SL
1FAHP38Z25W3,Ford,Focus
4M2ZU66EXYUJ,Mercury,Mountaineer
3D3KU28CX3G7,Dodge,Ram Pickup
1J8GX58S13C6,Jeep / Kaiser-Jeep / Willys- Jeep,Cherokee (1984-on)
2G1WH52K1394,Chevrolet,Impala/Caprice
KNDUP1310465,KIA,Sedona
KMHCM36C79U1,Hyundai,Accent
JT2BF28K7X01,Toyota,Camry
J0M83AC70978,Jeep / Kaiser-Jeep / Willys- Jeep,CJ-5/CJ-6/CJ-7/CJ-8
KL1TD56676B5,Chevrolet,Aveo/Aveo 5
JT2ST67L3H70,Toyota,Celica
1GKDL15Z5LB5,GMC,Safari (Minivan)
1HD1GJV39XY3,Harley-Davidson,750cc or greater
1FMYU93185KC,Ford,Escape
1B4HS28N4YF2,Dodge,Durango (1998-2003 only; see model 422 for 2004 on)
1GTEC14X35Z2,GMC,"C, K, R, V-series pickup/     Sierra"
1G2WJ54T2PF2,Pontiac,Grand Prix (FWD)
1FTNX21P14EB,Ford,F-Series pickup
1B4HR28ZXYF2,Dodge,Durango (1998-2003 only; see model 422 for 2004 on)
JNRAR05Y0VW0,Infiniti,QX4
2FTRX18L32CA,Ford,F-Series pickup
1GTCC14N6GJ5,GMC,"C, K, R, V-series pickup/     Sierra"
1GBDM19W6SB2,Chevrolet,Astro Van
JHMCM56307C0,Honda,Accord
KNADE1231660,KIA,Rio/Rio5
3B7MC33682M2,Dodge,"Medium/Heavy Pickup (pickup-style only – over 10,000 lbs)"
JYAVM01E37A1,Yamaha,450-749cc
JS2YB4131851,Suzuki,SX4/SX4 Crossover
1FTNW21P83EC,Ford,F-Series pickup
1G1ND52J1Y62,Chevrolet,Malibu/Malibu Maxx
999999999999,Unknown Make,"Unknown (as to automobile, motored cycle, light truck or truck)"
1HD1FBW135Y6,Harley-Davidson,750cc or greater
1FTRW12W74KB,Ford,F-Series pickup
1B7HF16Y1XS1,Dodge,Ram Pickup
KNDJD7338554,KIA,Sorrento
4A3AA46G72E1,Mitsubishi,Galant
2C3JA43R75H6,Chrysler,300M/300/300C/300S
1GTEC14VX2Z2,GMC,"C, K, R, V-series pickup/     Sierra"
1FTCR10A7VTA,Ford,Ranger
5TEJU62N67Z3,Toyota,Tacoma
1GNFK26379R2,Chevrolet,Fullsize Blazer/Tahoe
5TDZK23C37S0,Toyota,Sienna
1G2WJ52J1YF1,Pontiac,Grand Prix (FWD)
1B3LC56R48N5,Dodge,Avenger
5FNRL38448B0,Honda,Odyssey
1G6KD54Y11U2,Cadillac,"Deville/Fleetwood,Coupe de Ville, Sedan de Ville, Fleetwood Brougham, Fleetwood 60 Special, d`Elegan"
1HD1GHV134K3,Harley-Davidson,750cc or greater
1GNFK16K0SJ4,Chevrolet,Suburban (from 1950-2003;see 422 for 2004 on)
1FTEX14H8SKC,Ford,F-Series pickup
1GHCU06D4LT3,Oldsmobile,Silhouette
1G1ZG57B58F2,Chevrolet,Malibu/Malibu Maxx
1J4FJ58LXLL2,Jeep / Kaiser-Jeep / Willys- Jeep,Cherokee (1984-on)
1GCEK19V73E2,Chevrolet,"C, K, R, V-series pickup/Silverado"
1HD1CT3149K4,Harley-Davidson,750cc or greater
3B7HF13Y1TG1,Dodge,Ram Pickup
JTDBF30K0200,Toyota,Camry
1GNCS13W8T21,Ford,Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport
