victim_id,vin,driving
1,1HGCM56364A0,t
2,1HGCM56364A0,f
3,1HGCM56364A0,f
4,1HGCM56364A0,f
5,1HGCM56364A0,f
6,1GNCS13W7W22,t
7,1G8ZK5275VZ2,t
8,1FAHP38Z25W3,t
9,4M2ZU66EXYUJ,t
10,3D3KU28CX3G7,t
11,1J8GX58S13C6,t
12,2G1WH52K1394,t
13,KNDUP1310465,t
14,KMHCM36C79U1,t
15,KMHCM36C79U1,f
16,JT2BF28K7X01,t
17,J0M83AC70978,t
18,KL1TD56676B5,t
19,KL1TD56676B5,f
20,KL1TD56676B5,f
21,KL1TD56676B5,f
22,JT2ST67L3H70,t
23,1GKDL15Z5LB5,t
24,1GKDL15Z5LB5,f
25,1GKDL15Z5LB5,f
26,1GKDL15Z5LB5,f
27,1GKDL15Z5LB5,f
28,1GKDL15Z5LB5,f
29,1HD1GJV39XY3,t
30,1FMYU93185KC,t
31,1B4HS28N4YF2,t
32,1GTEC14X35Z2,t
33,1G2WJ54T2PF2,t
34,1G2WJ54T2PF2,f
35,1FTNX21P14EB,t
36,1FTNX21P14EB,f
37,1B4HR28ZXYF2,t
38,1B4HR28ZXYF2,f
39,1B4HR28ZXYF2,f
40,JNRAR05Y0VW0,t
41,JNRAR05Y0VW0,f
42,2FTRX18L32CA,t
43,2FTRX18L32CA,f
44,1GTCC14N6GJ5,t
45,1GBDM19W6SB2,t
46,1GBDM19W6SB2,f
47,JHMCM56307C0,t
49,KNADE1231660,t
50,3B7MC33682M2,t
51,3B7MC33682M2,f
52,JYAVM01E37A1,t
54,JS2YB4131851,t
55,JS2YB4131851,f
56,JS2YB4131851,f
57,JS2YB4131851,f
58,1FTNW21P83EC,t
59,1FTNW21P83EC,f
60,1G1ND52J1Y62,t
61,999999999999,t
62,999999999999,f
63,1HD1FBW135Y6,t
64,1FTRW12W74KB,t
65,1FTRW12W74KB,f
66,1B7HF16Y1XS1,t
67,KNDJD7338554,t
68,KNDJD7338554,f
69,4A3AA46G72E1,t
70,4A3AA46G72E1,f
71,4A3AA46G72E1,f
72,4A3AA46G72E1,f
73,2C3JA43R75H6,t
75,1GTEC14VX2Z2,t
76,1FTCR10A7VTA,t
77,5TEJU62N67Z3,t
78,5TEJU62N67Z3,f
79,1GNFK26379R2,t
80,5TDZK23C37S0,t
81,1G2WJ52J1YF1,t
82,1G2WJ52J1YF1,f
83,1B3LC56R48N5,t
84,1B3LC56R48N5,f
85,5FNRL38448B0,t
86,5FNRL38448B0,f
87,5FNRL38448B0,f
88,5FNRL38448B0,f
